### 财务报告 - 不动产、厂房及设备

#### (十) 不动产、厂房及设备

| 项目 | 111年1月1日 | 111年1至9月 | 111年9月30日 | 111年9月30日 |
|------|--------------|---------------|--------------|--------------|
| 成本 | $ 16,624,830 | $ 122,583,124 | $ 18,353,190 | $ 323,935,565 |
| 累计折旧 | - (33,528,486) (80,717,759) (932,575) (5,765,602) (14,283,448) (51,565,070) (3,008,700) - (189,801,640) | - (3,932) (130,016) (84,308) (30,484) (21) (2,006) (98,790) (46) - (349,603) | - (2,031,896) (4,058,718) (18,764) (454,410) (1,709,682) (4,484,429) (860,062) - (13,617,961) | - (35,967,120) (84,920,148) (968,741) (5,992,324) (15,174,912) (53,917,240) (3,140,158) - (200,080,643) |
| 累计减损 | - (3,932) (130,016) (84,308) (30,484) (21) (2,006) (98,790) (46) - (349,603) | - (3,932) (130,016) (84,308) (30,484) (21) (2,006) (98,790) (46) - (349,603) | - (3,932) (130,016) (84,308) (30,484) (21) (2,006) (98,790) (46) - (349,603) | - (3,932) (130,016) (84,308) (30,484) (21) (2,006) (98,790) (46) - (349,603) |
| 土地 | $ 16,624,830 | $ 122,583,124 | $ 18,353,190 | $ 323,935,565 |
| 房屋及建筑 | $ 76,264,018 | $ 122,583,124 | $ 78,687,894 | $ 91,065,529 |
| 供自用 | $ 106,119,003 | $ 122,583,124 | $ 109,149,204 | $ 68,517,225 |
| 供租赁 | $ 1,100,770 | $ 122,583,124 | $ 1,115,771 | $ 2,137 |
| 运输设备 | $ 8,307,683 | $ 122,583,124 | $ 8,471,731 | $ 2,137 |
| 租赁改良 | $ 22,131,739 | $ 122,583,124 | $ 23,855,891 | $ 2,137 |
| 供自用 | $ 71,042,532 | $ 122,583,124 | $ 73,745,048 | $ 2,137 |
| 供租赁 | $ 7,752,528 | $ 122,583,124 | $ 7,929,263 | $ 2,137 |
| 未完工程 | $ 3,391,264 | $ 122,583,124 | $ 2,623,641 | $ 2,623,641 |
| 合计 | $ 312,734,367 | $ 122,583,124 | $ 123,544,246 | $ 123,544,246 |

(注)请详附注六(三十六)现金流量补充资讯之说明。
