### 5. 其他租赁资讯

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| 租赁利息费用 | $4,137 | $3,496 |
| 短期租赁费用 | $- | $8 |
| 低价值资产租赁费用 | $311 | $362 |
| 租赁之现金流出总额 | $64,784 | $62,160 |

| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|----------------------|----------------------|
| 租赁利息费用 | $11,358 | $10,490 |
| 短期租赁费用 | $285 | $389 |
| 低价值资产租赁费用 | $1,000 | $1,072 |
| 租赁之现金流出总额 | $189,718 | $186,831 |

### (十) 無形資产

| 项目 | 商標 | 顧客關係 | 技術授權 | 商譽 | 其他 | 合計 |
|------|------|----------|----------|------|------|------|
| 111年1月1日 | $456,060 | $530,820 | $383,119 | $2,758,549 | $557,405 | $4,685,953 |
| 累計攤銷及減損 | (387,154) | (292,834) | (337,975) | (665,939) | (336,626) | (2,020,528) |
| 合計 | $68,906 | $237,986 | $45,144 | $2,092,610 | $220,779 | $2,665,425 |
| 111年1月1日 | $68,906 | $237,986 | $45,144 | $2,092,610 | $220,779 | $2,665,425 |
| 累計攤銷及減損 | - | - | - | - | - | - |
| 合計 | $68,906 | $237,986 | $45,144 | $2,092,610 | $220,779 | $2,665,425 |
| 111年9月30日 | $68,774 | $238,068 | $32,364 | $2,278,080 | $213,227 | $2,830,513 |
| 111年9月30日 | $512,854 | $575,362 | $424,906 | $2,985,777 | $644,469 | $5,143,368 |
| 累計攤銷及減損 | (444,080) | (337,294) | (392,542) | (707,697) | (431,242) | (2,312,855) |
| 合計 | $68,774 | $238,068 | $32,364 | $2,278,080 | $213,227 | $2,830,513 |

| 项目 | 商標 | 顧客關係 | 技術授權 | 商譽 | 其他 | 合計 |
|------|------|----------|----------|------|------|------|
| 110年1月1日 | $475,390 | $572,805 | $402,751 | $2,837,680 | $548,524 | $4,837,150 |
| 累計攤銷及減損 | (330,368) | (283,883) | (332,924) | (373,365) | (369,264) | (1,689,804) |
| 合計 | $145,022 | $288,922 | $69,827 | $2,464,315 | $179,260 | $3,147,346 |
| 110年1月1日 | $145,022 | $288,922 | $69,827 | $2,464,315 | $179,260 | $3,147,346 |
| 累計攤銷及減損 | - | - | - | - | - | - |
| 合計 | $145,022 | $288,922 | $69,827 | $2,464,315 | $179,260 | $3,147,346 |
| 110年9月30日 | $104,342 | $253,524 | $51,100 | $2,396,284 | $221,948 | $3,027,198 |
| 110年9月30日 | $460,638 | $546,279 | $385,313 | $2,778,203 | $679,185 | $4,849,618 |
| 累計攤銷及減損 | (356,296) | (292,755) | (334,213) | (381,919) | (457,237) | (1,822,420) |
| 合計 | $104,342 | $253,524 | $51,100 | $2,396,284 | $221,948 | $3,027,198 |
