### 财务报告分析

#### 1. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| 継續營業單位本期淨利 | $189,841 | $117,212 |
| 其他綜合損益(税後淨額) | 89,490 | 18,369 |
| 綜合損益總額 | $279,331 | $135,581 |

| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|----------------------|----------------------|
| 継續營業單位本期淨利 | $274,657 | $184,075 |
| 其他綜合損益(税後淨額) | 122,379 | 14,712 |
| 綜合損益總額 | $397,036 | $198,787 |

#### 2. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 關聯企業之公允價值 | $3,798,397 | $4,199,439 | $3,867,615 |

#### 3. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 關聯企業之公允價值 | $3,798,397 | $4,199,439 | $3,867,615 |

#### 4. 上述採用權益法之投資，除艾訊公司民國111年及110年第三季財務報表經會計師核閱外，其餘係按各該被投資公司同期間自編未經會計師核閱之財務報告計算而得。民國111年及110年9月30日，未經會計師核閱之採用權益法之投資餘額分別為$3,241,199及$2,982,007，民國111年及110年7月1日至9月30日暨民國111年及110年1月1日至9月30日所認列之綜合損益總額分別為$140,997、$57,118、$258,711及$120,324。

#### 5. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 關聯企業之公允價值 | $3,798,397 | $4,199,439 | $3,867,615 |

#### 6. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 關聯企業之公允價值 | $3,798,397 | $4,199,439 | $3,867,615 |

#### 7. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 關聯企業之公允價值 | $3,798,397 | $4,199,439 | $3,867,615 |

#### 8. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 關聯企業之公允價值 | $3,798,397 | $4,199,439 | $3,867,615 |

#### 9. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 關聯企業之公允價值 | $3,798,397 | $4,199,439 | $3,867,615 |

#### 10. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 關聯企業之公允價值 | $3,798,397 | $4,199,439 | $3,867,615 |

#### 11. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 關聯企業之公允價值 | $3,798,397 | $4,199,439 | $3,867,615 |

#### 12. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 關聯企業之公允價值 | $3,798,397 | $4,199,439 | $3,867,615 |

#### 13. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 關聯企業之公允價值 | $3,798,397 | $4,199,439 | $3,867,615 |

#### 14. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 關聯企業之公允價值 | $3,798,397 | $4,199,439 | $3,867,615 |

#### 15. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 關聯企業之公允價值 | $3,798,397 | $4,199,439 | $3,867,615 |

#### 16. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 關聯企業之公允價值
