# 财务报告分析

## 110年财务数据

### 110年1月1日余额
| 项目 | 金额（新台币千元） |
|------|------------------|
| 普通股股本 | 25,975,433 |
| 母公司 | 49,202,505 |
| 子公司 | 27,342,534 |
| 法定盈余公积 | 7,622,034 |
| 特别盈余公积 | 48,300,040 |
| 未分配盈余 | 12,319,980 |
| 母公司 | 353,844 |
| 子公司 | 130,616 |
| 非控制权益 | 145,899,338 |
| 母公司 | 20,538,751 |
| 子公司 | 1,165,841 |
| 非控制权益 | 21,704,592 |
| 未实现损益 | 65,854 |
| 母公司 | 2,669,211 |
| 子公司 | 524,954 |
| 非控制权益 | 704 |
| 母公司 | 3,129,015 |
| 子公司 | 1,123,231 |
| 非控制权益 | 4,252,246 |
| 本期综合损益总额 | 20,604,605 |
| 母公司 | 2,669,211 |
| 子公司 | 524,954 |
| 非控制权益 | 704 |
| 母公司 | 17,409,736 |
| 子公司 | 42,610 |
| 非控制权益 | 17,452,346 |

### 109年度盈余分配
| 项目 | 金额（新台币千元） |
|------|------------------|
| 提列法定盈余公积 | - |
| 提列特别盈余公积 | - |
| 分配股东现金股利 | - |
| 对子公司所有权权益变动 | - |
| 实际取得或处置子公司股权价格与账面价值差异 | - |
| 非控制权益增减 | - |
| 110年9月30日余额 | 25,975,433 |
| 普通股股本 | 49,089,538 |
| 母公司 | 29,697,752 |
| 子公司 | 12,543,208 |
| 法定盈余公积 | 47,341,773 |
| 特别盈余公积 | 14,989,191 |
| 未分配盈余 | 878,798 |
| 母公司 | 129,912 |
| 子公司 | 148,909,627 |
| 非控制权益 | 31,168,666 |
| 总额 | 180,078,293 |

### 111年财务数据

| 项目 | 金额（新台币千元） |
|------|------------------|
| 普通股股本 | 25,975,433 |
| 母公司 | 49,114,151 |
| 子公司 | 29,697,752 |
| 法定盈余公积 | 12,543,208 |
| 特别盈余公积 | 53,622,701 |
| 未分配盈余 | 15,520,287 |
| 母公司 | 776,353 |
| 子公司 | 129,17 |
| 非控制权益 | 154,786,522 |
| 母公司 | 24,755,470 |
| 子公司 | 3,138,612 |
| 非控制权益 | 27,894,082 |
| 本期综合损益总额 | 24,755,470 |
| 母公司 | 16,458,210 |
| 子公司 | 18,719 |
| 非控制权益 | 16,728,465 |
| 母公司 | 3,611,090 |
| 子公司 | 20,339,555 |
| 非控制权益 | 48,233,637 |
| 提列法定盈余公积 | - |
| 提列特别盈余公积 | - |
| 分配股东现金股利 | - |
| 对子公司所有权权益变动 | - |
| 实际取得或处置子公司股权价格与账面价值差异 | - |
| 非控制权益增减 | - |
| 111年9月30日余额 | 25,975,433 |
| 普通股股本 | 49,111,839 |
| 母公司 | 32,386,305 |
| 子公司 | 16,166,722 |
| 法定盈余公积 | 58,039,010 |
| 特别盈余公积 | 937,923 |
| 未分配盈余 | 766,126 |
| 母公司 | 129,917 |
| 子公司 | 181,981,023 |
| 非控制权益 | 37,253,843 |
| 总额 | 219,234,866 |

## 结论
通过对110年和111年的财务数据进行分析，可以看出公司的财务状况在两年间有所波动。110年和111年的普通股股本分别为25,975,433和49,114,151，显示出公司通过发行新股或回购股份等方式调整了股本结构。法定盈余公积和特别盈余公积在两年间也有所变化，反映了公司对利润的分配和留存策略。未分配盈余在110年和111年分别为12,319,980和15,520,287，显示出公司对利润的分配策略有所调整。非控制权益在110年和111年分别为21,704,592和27,894,082，显示出公司对外部投资者的吸引力有所增强。总体来看，公司的财务状况在两年间有所波动，但整体上保持了稳健的发展态势。
