### 财务报告分析

#### 2. 本集团基于营业租赁合约列示之利益如下：

| 项目 | 111年7至9月 | 110年7至9月 |
|------|--------------|--------------|
| 租金收入（注） | $ 1,288,358 | $ 732,242 |
| 属变动租赁给付认列之租金收入（注） | $ 749,928 | $ 480,601 |

| 项目 | 111年1至9月 | 110年1至9月 |
|------|--------------|--------------|
| 租金收入（注） | $ 2,812,712 | $ 2,239,963 |
| 属变动租赁给付认列之租金收入（注） | $ 1,863,042 | $ 1,548,892 |

（注）表列「营业收入」及「其他收入」。

#### 3. 本集团以营业租赁出租之租赁给付之到期日分析如下：

| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 未来1年内 | $ 2,865,298 | $ 2,984,699 | $ 2,881,110 |
| 未来1～2年 | 1,524,704 | 1,732,833 | 1,763,856 |
| 未来2～3年 | 890,134 | 922,172 | 928,606 |
| 未来3～4年 | 598,678 | 592,122 | 593,925 |
| 未来4～5年 | 548,271 | 531,843 | 547,383 |
| 未来5年以上 | 3,878,618 | 4,231,813 | 4,346,335 |
| 总计 | $ 10,305,703 | $ 10,995,482 | $ 11,061,215 |

#### (十三) 投资性不动产净额

| 项目 | 土地 | 房屋及建筑物 | 使用权资产 | 合计 |
|------|------|--------------|-------------|------|
| 111年1月1日 | $ 13,421,796 | $ 10,488,902 | $ - | $ 23,910,698 |
| 累计折旧 | - | (4,212,606) | - | (4,212,606) |
| 累计减损 | (1,887,201) | (48,379) | - | (1,935,580) |
| 合计 | $ 11,534,595 | $ 6,227,917 | $ - | $ 17,762,512 |

| 项目 | 111年1至9月 | 110年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 1月1日 | $ 11,534,595 | $ 6,227,917 | $ - | $ 17,762,512 |
| 增添 | 1,818,847 | 964,952 | - | 2,783,799 |
| 折旧费用 | - | (212,754) | - | (212,754) |
| 处分－成本 | (7,447) | (6,331) | - | (13,778) |
| - 累计折旧 | - | 5,060 | - | 5,060 |
| - 累计减损 | - | 32 | - | 32 |
| 减损回转利益 | 86 | - | - | 86 |
| 重分类（注） | 962,556 | (328,381) | 264,883 | 899,058 |
| 损益换算差额 | - | 13,226 | - | 13,226 |
| 9月30日 | $ 14,308,637 | $ 6,663,721 | $ 264,883 | $ 21,237,241 |
| 111年9月30日 | $ 16,195,752 | $ 10,978,129 | $ 267,921 | $ 27,441,802 |
| 累计折旧 | - | (4,266,061) | (3,038) | (4,269,099) |
| 累计减损 | (1,887,115) | (48,347) | - | (1,935,462) |
| 合计 | $ 14,308,637 | $ 6,663,721 | $ 264,883 | $ 21,237,241 |
