### 财务报告

#### 111年9月30日
| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 股票发行溢价 | $ 2,692,238 | $ 2,692,238 | $ 2,692,238 |
| 公司债转换溢价 | 1,636,499 | 1,636,499 | 1,636,499 |
| 员工认股权执行之股票发行溢价 | 3,402,729 | 2,714,285 | 2,545,341 |
| 实际取得或处置子公司股权价格与账面价值差额 | 31,556 | 23,128 | - |
| 接权益法确认关联企业股权净变动数 | 674 | 674 | 674 |
| 员工股票薪酬 | 78,614 | 78,614 | 78,614 |
| 仅得用以弥补亏损 | | | |
| 认列对子公司所有者权益变动数 | 529 | 215 | 161 |
| 接权益法确认关联企业股权净变动数 | 92,148 | 29,408 | 30,492 |
| 已失效员工认股权 | 96,258 | 96,258 | 87,266 |
| 不得作为任何用途 | 1,003,101 | 1,117,567 | 1,262,822 |
| 员工认股权 | | | |
| 总计 | $ 9,034,346 | $ 8,388,886 | $ 8,334,107 |

#### 财务报告注释
- 此类资本公积得用以弥补亏损，亦得于公司无亏损时，用以发放现金或拨充股本，惟拨充股本时每年以实收股本之一定比率为准。

#### (十八)保留盈余
1. 依本公司章程之盈余分配政策规定，年度决算如有盈余，依法缴纳税捐，弥补累积亏损后，再提10%为法定盈余公积，其余再依法令规定提列或转转特别盈余公积；如尚有余额，併同累积未分配盈余，由董事会拟具盈余分配议案，以发行新股方式为之，应提请股东会决议后分派之；以现金股利方式为之，应经董事会决议。
2. 本公司股利政策係考量本公司未来资金需求及长期财务规划，并兼顾股东利益等因素，每年就可供分配盈余提拨不低于30%分配股东股息红利；其中发放现金股利不低于当年度股利分配总额20%。
3. 本公司为经营高科技之电脑及网络相关产业，处於企业生命週期之成长期，配合整体环境及产业成长特性，为达成公司永续经营、追求股东长期利益、稳定经营绩效目标，依公司未来之资本支出预算及资金需求情形，以维持每股盈余之稳定成长，其股票股利之分配以不高于拟发放股利总数之75%为限。

#### (十九)其他
- 本报告所载财务数据未经审计，仅供参考。

#### (二十)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (二十一)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (二十二)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (二十三)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (二十四)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (二十五)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (二十六)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (二十七)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (二十八)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (二十九)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (三十)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (三十一)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (三十二)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (三十三)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (三十四)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (三十五)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (三十六)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (三十七)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (三十八)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (三十九)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (四十)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (四十一)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (四十二)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (四十三)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (四十四)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (四十五)附注
- 本报告所载财务数据未经审计，仅供参考。

#### (四十六)附注
- 本报告所载财务数据未经审计，仅供参考。

