### 财务报告表格数据输出

#### Markdown表格格式

| 投资公司 | 子公司 | 業務性質 | 111年 | 110年 | 110年 | 說明 |
|----------|--------|----------|-------|-------|-------|------|
| 75.      | 上海浦環中達能源科技有限公司 | 能源科技、環保科技領域技術開發與諮詢及節能設備設計及銷售 | 100.00 | 100.00 | 100.00 | （註1）（註2）（註18） |
| 76.      | Loy Tec electronics GmbH（Loy Tec） | 提供樓宇管理與控制解決方案 | 100.00 | 100.00 | 100.00 | （註1）（註2） |
| 77.      | 台達智能科技(北京)有限公司 | 機電、電信及電路設備安裝 | 100.00 | 100.00 | 100.00 | （註1）（註2） |
| 78.      | 台達電子(西安)有限公司 | 電腦及其週邊設備、軟體買賣 | 100.00 | 100.00 | 100.00 | （註1）（註2） |
| 79.      | Delta Electronics (Switzerland) AG（DECH） | 投資事業、經營電子產品之研發及買賣 | 100.00 | 100.00 | 100.00 | （註2） |
| 80.      | Delta Greentech Electronics Industry LLC | 經營電子產品之行銷及銷售業務 | 100.00 | 100.00 | 100.00 | （註1）（註2） |
| 81.      | DELTA GREENTECH (BRASIL) LTDA. (DGB) | 經營電子產品之製造及買賣 | 100.00 | 100.00 | 100.00 | （註1）（註2）（註15） |
| 82.      | Delta Electronics (Czech Republic), spol. s.r.o. | 經營電子產品之買賣 | 100.00 | 100.00 | 100.00 | （註2） |
| 83.      | Delta Electronics (Italy) S.r.l. | " | 100.00 | 100.00 | 100.00 | （註2） |
| 84.      | Delta Electronics (Poland) Sp. z o.o. | " | 100.00 | 100.00 | 100.00 | （註2） |
| 85.      | Delta Solutions (Finland) Oy | " | 100.00 | 100.00 | 100.00 | （註2） |
| 86.      | Delta Electronics Solutions (Spain) SL | " | 100.00 | 100.00 | 100.00 | （註2） |

#### 文本输出

| 投資公司 | 子公司 | 業務性質 | 111年 | 110年 | 110年 | 說明 |
|----------|--------|----------|-------|-------|-------|------|
| 75.      | 上海浦環中達能源科技有限公司 | 能源科技、環保科技領域技術開發與諮詢及節能設備設計及銷售 | 100.00 | 100.00 | 100.00 | （註1）（註2）（註18） |
| 76.      | Loy Tec electronics GmbH（Loy Tec） | 提供樓宇管理與控制解決方案 | 100.00 | 100.00 | 100.00 | （註1）（註2） |
| 77.      | 台達智能科技(北京)有限公司 | 機電、電信及電路設備安裝 | 100.00 | 100.00 | 100.00 | （註1）（註2） |
| 78.      | 台達電子(西安)有限公司 | 電腦及其週邊設備、軟體買賣 | 100.00 | 100.00 | 100.00 | （註1）（註2） |
| 79.      | Delta Electronics (Switzerland) AG（DECH） | 投資事業、經營電子產品之研發及買賣 | 100.00 | 100.00 | 100.00 | （註2） |
| 80.      | Delta Greentech Electronics Industry LLC | 經營電子產品之行銷及銷售業務 | 100.00 | 100.00 | 100.00 | （註1）（註2） |
| 81.      | DELTA GREENTECH (BRASIL) LTDA. (DGB) | 經營電子產品之製造及買賣 | 100.00 | 100.00 | 100.00 | （註1）（註2）（註15） |
| 82.      | Delta Electronics (Czech Republic), spol. s.r.o. | 經營電子產品之買賣 | 100.00 | 100.00 | 100.00 | （註2） |
| 83.      | Delta Electronics (Italy) S.r.l. | " | 100.00 | 100.00 | 100.00 | （註2） |
| 84.      | Delta Electronics (Poland) Sp. z o.o. | " | 100.00 | 100.00 | 100.00 | （註2） |
| 85.      | Delta Solutions (Finland) Oy | " | 100.00 | 100.00 | 100.00 | （註2） |
| 86.      | Delta Electronics Solutions (Spain) SL | " | 100.00 | 100.00 | 100.00 | （註2） |
