### (二十八) 財務成本

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| 利息費用： | | |
| 銀行借款 | $295,969 | $224,174 |
| 公司債 | 17,164 | 27,580 |
| 租賃負債 | 528,569 | 488,721 |
| 總計 | 841,702 | 740,475 |
| 減：符合要件之資產 | | |
| 資本化金額 | (5,914) | (23,717) |
| 總計 | $835,788 | $716,758 |

| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|----------------------|----------------------|
| 利息費用： | | |
| 銀行借款 | $737,701 | $808,626 |
| 公司債 | 64,402 | 85,357 |
| 租賃負債 | 1,550,254 | 1,665,287 |
| 總計 | 2,352,357 | 2,559,270 |
| 減：符合要件之資產 | | |
| 資本化金額 | (17,202) | (92,383) |
| 總計 | $2,335,155 | $2,466,887 |

### (二十九) 費用性質之額外資訊

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| 員工福利費用 | $4,375,526 | $3,152,347 |
| 不動產、廠房及設備折舊費用 | 3,673,153 | 2,640,763 |
| 使用權資產折舊費用 | 9,637,935 | 2,991,081 |
| 無形資產攤銷費用 | 82,924 | 71,852 |
| 其他營業成本及營業費用 | 43,637,228 | 38,572,431 |
| 總計 | $61,406,766 | $47,428,501 |

| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|----------------------|----------------------|
| 員工福利費用 | $12,651,347 | $8,723,498 |
| 不動產、廠房及設備折舊費用 | 10,256,794 | 7,408,033 |
| 使用權資產折舊費用 | 9,637,935 | 8,835,081 |
| 無形資產攤銷費用 | 231,977 | 216,488 |
| 其他營業成本及營業費用 | 142,364,186 | 116,226,092 |
| 總計 | $175,142,239 | $141,409,192 |
