### 财务报告分析

#### (3) UMS 收购案所支付之对价、所取得之资产和承担之负债在收购日之公允价值之资讯如下：

| 项目 | 金额（美元） |
|------|--------------|
| 现金 | 8,373        |
| 现金及约当现金 | 328,808      |
| 应收票据净额 | 11,101       |
| 应收账款净额（含关系人） | 59,394       |
| 其他应收账款 | 128          |
| 预付款项 | 4,055        |
| 其他流动资产 | 43           |
| 不动产、厂房及设备 | 10,757       |
| 使用权资产 | 8,010        |
| 应付账款（含关系人） | (159,027)    |
| 其他应付款（含关系人） | (226,563)    |
| 其他流动负债 | (10,078)     |
| 租赁负债-流动 | (6,134)      |
| 租赁负债-非流动 | (2,481)      |
| 其他非流动负债 | (1,035)      |
| 可辨认净资产总额 | 16,978       |
| 廉价购买利益 | (8,605)      |

#### 5. 若假设长荣保全自民国111年1月1日即已纳入合并，则合并公司民111年1月1日至9月30日之营业收入及税前净利将分别增加$183,339及$11,876。

#### 6. 若假设UMS自民国110年1月1日即已纳入合并，则合并公司民110年1月1日至9月30日之营业收入及税前净利将分别增加$27,974及$30,628。
