### 财务报告分析

#### 1. 无形资产摊销明细如下：

| 项目 | 111年7至9月 | 110年7至9月 |
|------|--------------|--------------|
| 研发费用 | $ 17,455 | $ 13,927 |
| 推销费用 | 31,667 | 29,248 |
| 管理费用 | 186,195 | 179,566 |
| 研发费用 | 13 | 71 |
| 什项支出 | - | 3,513 |
| 总计 | $ 235,330 | $ 226,325 |

| 项目 | 111年1至9月 | 110年1至9月 |
|------|--------------|--------------|
| 研发费用 | $ 50,838 | $ 39,809 |
| 推销费用 | 88,569 | 87,379 |
| 管理费用 | 559,599 | 538,628 |
| 研发费用 | 86 | 217 |
| 什项支出 | - | 10,540 |
| 总计 | $ 699,092 | $ 676,573 |

#### 2. 本集团未有将无形资产借款成本资本化之情形。

#### 3. 本集团于民国111年9月30日、110年12月31日及110年9月30日均未有将无形资产提供担保之情形。

#### (十五) 非金融资产减损

1. 本集团于民国111年及110年7至9月暨民国111年及110年1至9月认列之非金融资产减损回转利益(损失)(表列「其他利益及损失」)，明细如下：

| 项目 | 111年7至9月 | 110年7至9月 |
|------|--------------|--------------|
| 减损回转利益(损失)： | | |
| 不动产、厂房及设备 | $ 59 | $ -($ 72) |
| 投资性不动产净额 | - | -($ 86,783) |
| 总计 | $ 59 | $ -($ 86,855) |

| 项目 | 111年1至9月 | 110年1至9月 |
|------|--------------|--------------|
| 减损回转利益(损失)： | | |
| 不动产、厂房及设备 | $ 102 | $ -($ 23) |
| 投资性不动产净额 | 86 | -($ 86,749) |
| 总计 | $ 188 | $ -($ 86,816) |

### Markdown表格格式

```markdown
| 项目 | 111年7至9月 | 110年7至9月 |
|------|--------------|--------------|
| 研发费用 | $ 17,455 | $ 13,927 |
| 推销费用 | 31,667 | 29,248 |
| 管理费用 | 186,195 | 179,566 |
| 研发费用 | 13 | 71 |
| 什项支出 | - | 3,513 |
| 总计 | $ 235,330 | $ 226,325 |

| 项目 | 111年1至9月 | 110年1至9月 |
|------|--------------|--------------|
| 研发费用 | $ 50,838 | $ 39,809 |
| 推销费用 | 88,569 | 87,379 |
| 管理费用 | 559,599 | 538,628 |
| 研发费用 | 86 | 217 |
| 什项支出 | - | 10,540 |
| 总计 | $ 699,092 | $ 676,573 |

| 项目 | 111年7至9月 | 110年7至9月 |
|------|--------------|--------------|
| 减损回转利益(损失)： | | |
| 不动产、厂房及设备 | $ 59 | $ -($ 72) |
| 投资性不动产净额 | - | -($ 86,783) |
| 总计 | $ 59 | $ -($ 86,855) |

| 项目 | 111年1至9月 | 110年1至9月 |
|------|--------------|--------------|
| 减损回转利益(损失)： | | |
| 不动产、厂房及设备 | $ 102 | $ -($ 23) |
| 投资性不动产净额 | 86 | -($ 86,749) |
| 总计 | $ 188 | $ -($ 86,816) |
```

### 结论
通过以上分析，我们可以看到本集团在无形资产摊销和非金融资产减损方面的情况。无形资产摊销在111年7至9月和110年7至9月之间有所增加，而非金融资产减损在111年7至9月和110年7至9月之间有所减少。这些数据反映了本集团在资产管理和财务状况上的变化。
