### 财务报告分析

#### 112年3月31日

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 预期信用损失率（注1） | 0%~1% | 1%~21% | 1%~21% |
| 总账面金额 | $15,877,741 | $360,047 | $307,656 |
| 坏账损失（存续期间预期信用损失） | $15,819,514 | $315,512 | $261,107 |
| 撤销后成本 | $15,819,514 | $108,578 | $81,985 |

#### 111年12月31日

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 预期信用损失率（注1） | 0%~1% | 1%~20% | 0%~5% |
| 总账面金额 | $17,162,634 | $310,392 | $307,656 |
| 坏账损失（存续期间预期信用损失） | $17,112,990 | $66,694 | $10,282 |
| 撤销后成本 | $17,112,990 | $11,899 | $37,203 |

#### 111年3月31日

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 预期信用损失率（注1） | 0%~1% | 1%~21% | 0%~5% |
| 总账面金额 | $15,695,361 | $102,985 | $26,885 |
| 坏账损失（存续期间预期信用损失） | $15,644,394 | $20,768 | $5,340 |
| 撤销后成本 | $15,644,394 | $19,902 | $16,944 |

#### 警报和结构化数据输出

**注1：** 预期信用损失率各异，以反映历史经验等因素显示之风险程度。

**注2：** 客户类别具不同损失型态，表列係一般客户适用之预期信用损失率；客户为政府关系个体时，预计将不致有信用损失发生；曾发生跳换票或应收账款项逾期超过6个月以上转列高风险
