### 财务报告

#### 1. 部门收入

| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|
| 工業物聯網 | $15,174,529 | $14,568,582 |
| 嵌入式平台 | $12,387,950 | $10,026,104 |
| 與生產服務 | $13,399,486 | $9,184,344 |
| 智能服務 | $5,185,350 | $3,811,208 |
| 綜合服務 | $5,643,623 | $5,215,838 |
| 事業群 | $233,014 | $71,878 |
| 合計 | $51,557,924 | $42,877,954 |

#### 2. 合約負債

民國 111 年 9 月 30 日、110 年 12 月 31 日、110 年 9 月 30 日及 110 年 1 月 1 日，本集團認列客戶銷貨及保固等合約收入相關之合約負債金額分別為$1,164,421、$950,692、$989,685 及$757,052。

#### (二十二)其他收入

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|---------------------|---------------------|
| 租金收入 | $7,067 | $8,910 |
| 股利收入 | 237,261 | 160,501 |
| 其他(註) | 26,695 | 18,618 |
| 合計 | $271,023 | $188,029 |

| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|
| 租金收入 | $24,153 | $20,570 |
| 股利收入 | 237,261 | 161,913 |
| 其他(註) | 91,359 | 75,776 |
| 合計 | $352,773 | $258,259 |

#### 註：本集團於民國 111 年及 110 年 7 月 1 日至 9 月 30 日暨民國 111 年及 110 年 1 月 1 日至 9 月 30 日取得參與政府專案計畫之政府補助款分別為$2,133、$6,861、$11,118 及$15,620；另於民國 111 年及 110 年 7 月 1 日至 9 月 30 日暨民國 111 年及 110 年 1 月 1 日至 9 月 30 日取得政府補償已發生之費用與損失分別為$414、$31、$1,602 及$1,282，已自費用項下減除。

#### (二十三)其他利益及損失

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|---------------------|---------------------|
| 處分不動產、廠房及設備損失 | ($614) | ($7,335) |
| 外幣兌換利益(損失) | 158,943 | (6,747) |
| 透過損益按公允價值衡量之金融資產/負債損失 | (30,125) | (21,389) |
| 其他 | (3,043) | (999) |
| 合計 | $125,161 | ($36,470) |

---

### Markdown表格格式

| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|
| 工業物聯網 | $15,174,529 | $14,568,582 |
| 嵌入式平台 | $12,387,950 | $10,026,104 |
| 與生產服務 | $13,399,486 | $9,184,344 |
| 智能服務 | $5,185,350 | $3,811,208 |
| 綜合服務 | $5,643,623 | $5,215,838 |
| 事業群 | $233,014 | $71,878 |
| 合計 | $51,557,924 | $42,877,954 |

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|---------------------|---------------------|
| 租金收入 | $7,067 | $8,910 |
| 股利收入 | 237,261 | 160,501 |
| 其他(註) | 26,695 | 18,618 |
| 合計 | $271,023 | $188,029 |

| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|
| 租金收入 | $24,153 | $20,570 |
| 股利收入 | 237,261 | 161,913 |
| 其他(註) | 91,359 | 75,776 |
| 合計 | $352,773 | $258,259 |

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|---------------------|---------------------|
| 處分不動產、廠房及設備損失 | ($614) | ($7,335) |
| 外幣兌換利益(損失) | 158,943 | (6,747) |
| 透過損益按公允價值衡量之金融資產/負債損失 | (30,125) | (21,389) |
| 其他 | (3,043) | (999) |
| 合計 | $125,161 | ($36,470) |
