```markdown
# (三十七)財務成本

|  | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|---|---|---|
| 利息費用： |  |  |
| 銀行借款 | $8,757,841 | $3,630,910 |
| 公司債 | 1,036,831 | 1,042,973 |
| 租賃負債之利息 | 196,490 | 362,739 |
| 應收帳款讓售費用 | 101,847 | 25,702 |
|  | $10,093,009 | $5,062,324 |
|  |  |  |
| 利息費用： |  |  |
| 銀行借款 | $18,169,598 | $12,980,875 |
| 公司債 | 3,029,403 | 3,231,224 |
| 租賃負債之利息 | 636,407 | 1,093,614 |
| 應收帳款讓售費用 | 186,545 | 116,829 |
|  | $22,021,953 | $17,422,542 |

# (三十八)所得稅

## 1.所得稅費用

### (1)所得稅費用組成部分：

|  | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|---|---|---|
| 當期所得稅： |  |  |
| 當期所得產生之所得稅 | $7,739,457 | $5,983,792 |
| 以前年度所得稅低(高)估 | 159,769 | (36,326) |
| 當期所得稅總額 | 7,899,226 | 5,947,466 |
| 遞延所得稅： |  |  |
| 暫時性差異之原始產生及迴轉 | 1,604,246 | 2,593,222 |
| 所得稅費用 | $9,503,472 | $8,540,688 |
|  |  |  |
| 當期所得稅： |  |  |
| 當期所得產生之所得稅 | $24,814,515 | $21,957,431 |
| 未分配盈餘加徵 | 2,648,372 | 2,369,329 |
| 以前年度所得稅高估 | (909,444) | (2,429,783) |
| 當期所得稅總額 | 26,553,443 | 21,896,977 |
| 遞延所得稅： |  |  |
| 暫時性差異之原始產生及迴轉 | 2,541,455 | 6,862,392 |
| 所得稅費用 | $29,094,898 | $28,759,369 |

-85-
```
