```markdown
| 和運租車股份有限公司 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
| --- | --- | --- |
| 收入 | $5,037,654 | $4,442,825 |
| 稅前淨利 | 340,124 | 324,127 |
| 所得稅費用 | (75,787) | (71,093) |
| 本期淨利 | 264,337 | 253,034 |
| 其他綜合損益（稅後淨額） | 9,748 | (5,981) |
| 本期綜合損益總額 | $274,085 | $247,053 |
| 綜合損益總額歸屬於非控制權益 | $93,074 | $76,894 |

| 和運租車股份有限公司 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
| --- | --- | --- |
| 收入 | $14,605,824 | $13,218,249 |
| 稅前淨利 | 1,066,981 | 948,885 |
| 所得稅費用 | (251,510) | (217,181) |
| 本期淨利 | 815,471 | 731,704 |
| 其他綜合損益（稅後淨額） | 46,937 | (26,150) |
| 本期綜合損益總額 | $862,408 | $705,554 |
| 綜合損益總額歸屬於非控制權益 | $292,857 | $232,592 |

| 現金流量表 |  |  |
| --- | --- | --- |
| 和潤企業股份有限公司 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
| 營業活動之淨現金流出 | ($30,134,014) | ($24,432,758) |
| 投資活動之淨現金流出 | (1,877,506) | (2,662,503) |
| 繳資活動之淨現金流入 | 32,945,069 | 27,464,464 |
| 匯率影響數 | 192,943 | (52,832) |
| 本期現金及約當現金增加數 | 1,126,492 | 316,371 |
| 期初現金及約當現金餘額 | 1,058,573 | 390,420 |
| 期末現金及約當現金餘額 | $2,185,065 | $706,791 |

| 和運租車股份有限公司 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
| 營業活動之淨現金流入 | $11,748,861 | $10,177,357 |
| 投資活動之淨現金流出 | (13,376,545) | (11,444,785) |
| 繳資活動之淨現金流入 | 1,768,389 | 1,284,417 |
| 本期現金及約當現金增加數 | 140,705 | 16,989 |
| 期初現金及約當現金餘額 | 109,655 | 86,941 |
| 期末現金及約當現金餘額 | $250,360 | $103,930 |
```
