```markdown
|  | 商譽 | 特許權 | 專利權 | 商標權 | 已發展技術 | 客戶關係 | 電腦軟體成本 | 合計 |
|---|---|---|---|---|---|---|---|---|
| 1月1日 | | | | | | | | |
| 成本 | $17,266,764 | $14,581,255 | $4,323,547 | $9,447,950 | $10,386,924 | $1,657,536 | $- | $57,663,976 |
| 累計攤銷及減損 | (2,349,869) | (4,719,570) | (2,945,509) | (519,023) | (2,012,836) | (357,086) | - | (12,903,893) |
| | $14,916,895 | $9,861,685 | $1,378,038 | $8,928,927 | $8,374,088 | $1,300,450 | $- | $44,760,083 |
| 1月1日 | | | | | | | | |
| 轉入 | - | - | - | - | - | - | 2,369,522 | 2,369,522 |
| 新增 | - | - | 96,615 | - | - | - | 745,879 | 842,494 |
| 企業合併取得 | 2,900,305 | - | - | - | 222,856 | - | - | 3,123,161 |
| 處分 | - | - (1,031) | (1,338) | - | - | - | (26,227) | (28,596) |
| 處分子公司影響數 | (1,513,601) | - | - | - | (533,330) | - | - | (2,046,931) |
| 攤銷費用 | - | (693,560) | (181,134) | (368,678) | (456,884) | (116,105) | (796,265) | (2,612,626) |
| 淨兌換差額 | (351,755) | - | (30,430) | (141,631) | (36,793) | (27,856) | (50,697) | (639,162) |
| 9月30日 | $15,951,844 | $9,168,125 | $1,262,058 | $8,417,280 | $7,569,937 | $1,156,489 | $2,242,212 | $45,767,945 |
| 9月30日 | | | | | | | | |
| 成本 | $18,249,732 | $14,581,255 | $4,322,842 | $9,288,236 | $9,991,551 | $1,620,870 | $7,907,331 | $65,961,817 |
| 累計攤銷及減損 | (2,297,888) | (5,413,130) | (3,060,784) | (870,956) | (2,421,614) | (464,381) | (5,665,119) | (20,193,872) |
| | $15,951,844 | $9,168,125 | $1,262,058 | $8,417,280 | $7,569,937 | $1,156,489 | $2,242,212 | $45,767,945 |
```
