```markdown
|  | 土地 | 房屋及建築 | 機器設備 | 電腦通訊設備 | 其他 | 及待驗設備 | 合計 |
|---|---|---|---|---|---|---|---|
| 1月1日 | $ 11,088,299 | $ 230,689,468 | $ 287,474,102 | $ 47,391,725 | $ 179,441,556 | $ 31,290,949 | $ 787,376,099 |
| 累計折舊及減損 | - | ( 109,207,148) | ( 207,619,795) | ( 38,831,481) | ( 121,610,366) | - | ( 477,268,790) |
|---|---|---|---|---|---|---|---|
| 1月1日 | $ 11,088,299 | $ 121,482,320 | $ 79,854,307 | $ 8,560,244 | $ 57,831,190 | $ 31,290,949 | $ 310,107,309 |
| 1月1日 | $ 11,088,299 | $ 121,482,320 | $ 79,854,307 | $ 8,560,244 | $ 57,831,190 | $ 31,290,949 | $ 310,107,309 |
| 增添 | 99 | 1,798,003 | 19,608,910 | 985,903 | 10,980,275 | 29,157,251 | 62,530,441 |
| 移轉 | - | 3,750,277 | 7,071,463 | 657,435 | 2,222,059 | ( 11,817,570) | 1,883,664 |
| 企業合併取得 | - | - | 57,173 | 9,498 | 11,872 | 4,753 | 83,296 |
| 處分 | ( 34,270) | ( 11,074) | ( 1,027,705) | ( 460,200) | ( 502,417) | ( 416,887) | ( 2,452,553) |
| 折舊費用 | - | ( 8,867,083) | ( 18,221,282) | ( 2,099,955) | ( 14,195,083) | - | ( 43,383,403) |
| 減損損失 | - | - | ( 147,637) | - | - | - | ( 147,637) |
| 淨兌換差額 | 1,074,907 | 6,125,600 | 5,514,921 | 120,749 | 502,937 | 5,348,363 | 18,687,477 |
| 9月30日 | $ 12,129,035 | $ 124,278,043 | $ 92,710,150 | $ 7,773,674 | $ 56,850,833 | $ 53,566,859 | $ 347,308,594 |
| 9月30日 | $ 12,129,035 | $ 243,682,744 | $ 314,095,215 | $ 47,160,889 | $ 194,000,849 | $ 53,566,859 | $ 864,635,591 |
| 累計折舊及減損 | - | ( 119,404,701) | ( 221,385,065) | ( 39,387,215) | ( 137,150,016) | - | ( 517,326,997) |
| 9月30日 | $ 12,129,035 | $ 124,278,043 | $ 92,710,150 | $ 7,773,674 | $ 56,850,833 | $ 53,566,859 | $ 347,308,594 |
```
