```markdown
| 投資公司名稱 | 子公司名稱 | 業務性質 | 所持股權百分比 | 說明 |
| --- | --- | --- | --- | --- |
| 台化公司 | 台化地毯公司 | 紡紗、印染整理、人造纖維及毯氈之製造 | 100.00 | 本公司持有其表決權超過50%(註3) |
| 台化公司 | 台化投資(開曼)公司 | 投資 | 100.00 | 本公司持有其表決權超過50% |
| 台化公司 | 台化綠能公司 | 再生能源售電業 | 100.00 | 本公司持有其表決權超過50%(註2及註3) |
| 台化公司 | 台塑生醫公司 | 清潔劑及化粧品之生產及銷售 | 88.59 | 本公司持有其表決權超過50%(註3) |
| 台化公司 | 台化出光公司 | 石油化學原料及塑膠原料批發零售 | 50.00 | 本公司對其具有實質控制能力，故將該公司視為子公司(註3) |
| 台化公司 | 台灣醋酸公司 | 化學、石化貿易 | 50.00 | 本公司對其具有實質控制能力，故將該公司視為子公司(註3) |
| 台化公司 | 嘉南實業公司 | 水力發電 | 51.00 | 本公司持有其表決權超過50%(註3) |
| 台化公司 | 台灣興業公司 | 紡織、聚酯棉、絲、水電蒸汽之產銷 | 42.50 | 本公司對其具有實質控制能力，故將該公司視為子公司(註3) |
```
