```markdown
# 和泰汽車股份有限公司及子公司

## 110年前三季

### 110年1月1日餘額
|  | $ 5,461,792 | $ 2,818,336 | $ 12,544,333 | $ 381,843 | $ 42,338,324 | ($ 496,286) | $ 2,069,100 | $ 349,885 | $ 10,377 | $ 65,477,704 | $ 18,407,638 | $ 83,885,342 |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 110年1月1日餘額 | - | - | - | - | 12,667,726 | - | - | - | - | 12,667,726 | 2,489,377 | 15,157,103 |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日餘額 | - | - | - | - | - | - | - | - | - | - | - | - | - |
| 110年1月1日
