```markdown
# 聯華電子股份有限公司及子公司
## 合併現金流量表
### 民國一一二年及一一一年一月至九月三十日
#### （金額均以新台幣千元為單位）

| 項目 | 一一二年一月一日至九月三十日 | 一一一年一月一日至九月三十日 |
| --- | --- | --- |
| **營業活動之現金流量：** |  |  |
| 本期稅前淨利 | $56,262,347 | $81,571,096 |
| 調整項目： |  |  |
| 折舊費用 | 27,804,544 | 31,536,365 |
| 攤銷費用 | 1,958,175 | 2,155,939 |
| 預期信用減損損失（利益）數 | (67,331) | 2,388 |
| 透過損益按公允價值衡量之金融資產及負債淨損失（利益） | (168,392) | 896,807 |
| 利息費用 | 1,060,548 | 1,368,930 |
| 利息收入 | (3,560,433) | (1,022,139) |
| 股利收入 | (1,731,597) | (2,134,827) |
| 股份基礎給付酬勞成本 | 866,225 | 1,116,887 |
| 採用權益法認列之關聯企業及合資損失（利益）之份額 | (4,995,712) | 3,557,052 |
| 處分不動產、廠房及設備利益 | (216,476) | (441,140) |
| 處分採用權益法之投資利益 | (19,620) | - |
| 買回應付公司債損失 | - | 182,915 |
| 金融資產及負債兌換損失 | 1,188,481 | 3,034,111 |
| 廉價購買利益 | (494,001) | - |
| 租約修改損失（利益） | 173 | (1,366) |
| 遞延政府補助攤銷 | (2,226,363) | (3,183,725) |
| **收益費損項目合計** | 19,398,221 | 37,068,197 |
| **與營業相關之資產/負債變動數：** |  |  |
| 透過損益按公允價值衡量之金融資產及負債 | 2,256,874 | (310,252) |
| 合約資產 | (204,729) | (64,648) |
| 應收票據及帳款 | 5,999,448 | (9,001,918) |
| 其他應收款 | (73,359) | (602,475) |
| 存貨 | (5,446,760) | (6,576,121) |
| 預付款項 | 1,306,725 | (3,048,362) |
| 其他流動資產 | - | (57,220) |
| 履行合約成本 | (261,413) | (56,070) |
| 合約負債 | (476,711) | 526,918 |
| 應付帳款 | (584,183) | 1,559,946 |
| 其他應付款 | (8,635,295) | 4,641,822 |
| 其他流動負債 | 195,046 | 77,522 |
| 淨確定福利負債 | (250,664) | (695,221) |
| 其他非流動負債-其他 | (81,634) | (12,213) |
| **營運產生之現金流入** | 69,403,913 | 105,021,001 |
| 取收之利息 | 3,373,131 | 916,082 |
| 取收之股利 | 3,617,513 | 4,119,483 |
| 支付之利息 | (614,647) | (818,724) |
| 支付之所得稅 | (15,996,973) | (4,333,087) |
| **營業活動之淨現金流入** | 59,782,937 | 104,904,755 |

---

接下頁
```
