```markdown
| 投资公司名称 | 子公司名称 | 业务性质 | 股权比例 |
| --- | --- | --- | --- |
| Lite-On Automotive International (Cayman) Co., Ltd. |  | 一般投资业 | 100.00 |
| LITE-ON AUTOMOTIVE ELECTRONICS MEXICO, S.A. DE C.V. |  | 生产、制造、销售、进口与出口光电装置、关键电子零组件、通讯装置、资讯科技装置、半导体应用产品、一般照明装置、车用电子产品、再生能源产品与服务、汽车应用系统与维修 | 99.00 |
| LITE-ON POWER ELECTRONIC INDIA PRIVATE LIMITED |  | 製造及销售手机充电器及电源供应产品 | 99.00 |
| KBW-LITEON Jordan Private Shareholding Limited |  | 生产及製造节能灯具、專案施工及維護 | 99.86 |
| KBW-LEOTEK Jordan Private Shareholding Limited |  | 一般投资业 | 49.00 |
| 旭宝投资股份有限公司 |  | 一般投资业 | - |
| 敦南開發投资股份有限公司 |  | 一般投资业 | - |
| 光林智能科技股份有限公司（原名：光林智通股份有限公司） |  | 路燈、交通信号燈、室内外景觀燈、室内外照明燈、新型電子元器件、零件國內採購、批發、進出口業務及安装施工 | 100.00 |
| 源泰投资股份有限公司 |  | 電子零組件、電池之生產製造與批售業務及能源技術服務等 | 100.00 |
| Lite-On Green Energy (HK) Limited |  | 一般投资业 | 100.00 |
| Lite-On Technology (Europe) B.V. |  | 市場資訊蒐集及售後服務 | 46.00 |
| LITE-ON GREEN ENERGY (SINGAPORE) PTE. LTD. |  | 一般投资业 | 100.00 |
| 光寶綠色能資科技股份有限公司 |  | 太陽能系統工程 | 100.00 |
| Lite-On Green Technologies B.V. |  | 一般投资业 | 100.00 |
| Lite-On Green Energy B.V. |  | 一般投资业 | 100.00 |
| LITE-ON ELECTRONICS H.K. LIMITED |  | 代工生产光电产品 | 100.00 |
| 光寶電子（天津）有限公司 |  | 資訊產品之製造及銷售 | 100.00 |
| 光寶網絡通訊（東莞）有限公司 |  | 投資控股、諮詢服務、代理銷售業務 | 100.00 |
| 光寶電子（東莞）有限公司 |  | 生產電子原件相關附產品 | 100.00 |
| 旭麗電子（東莞）有限公司 |  | 從事經營鍵盤之生產及銷售業務 | 100.00 |
| 源興電腦科技（東莞）有限公司 |  | 顯示器之生產及銷售 | 100.00 |
| 中寶科技（中國）有限公司 |  | 開發、生產、加工新型電子器件、新型 LED、集成光學產品、提供相關技術諮詢及精密儀器、設備維修與售後服務 | 12.59 |
| 無錫中寶運通貿易有限公司 |  | 從事裝配與銷售電源供應器、變流器、印表機、顯示器、掃描器等業務 | 100.00 |
```
