```markdown
| 投资公司名称 | 子公司名称 | 业务性质 | 所持股权百分比 |
| --- | --- | --- | --- |
| 中华硕铠科技股份有限公司 | 中华硕铠科技股份有限公司 | 车牌辨识产品及软件之设计、生产开发 | 51% |
| 宏华国际股份有限公司 | 宏华国际股份有限公司 | 电信工程、电信业务门号代办及其他工商服务 | 100% |
| 中华立鼎光电股份有限公司 | 中华立鼎光电股份有限公司 | 电子零组件及成品之制造及买卖 | 75% |
| Chunghua Telecom (Thailand) Co., Ltd. | Chunghua Telecom (Thailand) Co., Ltd. | 国际数据专线、IP 虚拟企业网络、ICT、云端加值服务等 | 100% |
| 中华资安国际股份有限公司 | 中华资安国际股份有限公司 | 电脑设备安装、电脑及事务性机器设备批发零售、资讯软件批发零售、管理顾问服务、资料处理服务、电子供应服务、网络认证服务 | 75% |
| 资拓宏宇国际股份有限公司 | 资拓宏宇国际股份有限公司 | 资讯系统发展及维运、产业解决方案之开发与销售、资讯管理顾问咨询、相关产品代理与销售 | 51% |
| Senao International (Samoa) Holding Ltd. | Senao International (Samoa) Holding Ltd. | 国际投资业务 | 100% |
| 優仕股份有限公司 | 優仕股份有限公司 | 資訊產品之買賣 | 96% |
| 優固科技股份有限公司 | 優固科技股份有限公司 | 資訊產品之買賣 | 100% |
| 神揚保險代理人股份有限公司 | 神揚保險代理人股份有限公司 | 財產保險代理業務 | 100% |
| 優仕股份有限公司 | 優仕股份有限公司 | 資訊產品之買賣 | 100% |
| 優固科技股份有限公司 | 優固科技股份有限公司 | 資訊產品之維修 | 100% |
| 神揚保險代理人股份有限公司 | 神揚保險代理人股份有限公司 | 資訊產品之買賣 | 100% |
| 神揚保險代理人股份有限公司 | 神揚保險代理人股份有限公司 | 人身保險代理業務 | 100% |
| 是方電訊股份有限公司 | 是方電訊股份有限公司 | 電信及網路服務 | 100% |
| Chief International Corp. | Chief International Corp. | 電信及網路服務 | 100% |
| 上海是泰网络科技有限公司 | 上海是泰网络科技有限公司 | 電信及網路服務 | 49% |
| 中华投资股份有限公司 | 中华投资股份有限公司 | 半導體測試零組件及印刷電路板等電子產品之產銷 | 34% |
| 中华精测科技股份有限公司 | 中华精测科技股份有限公司 | 半導體測試零組件及印刷電路板之換案設計及售後服務 | 100% |
| CHPT Japan Co., Ltd. | CHPT Japan Co., Ltd. | 電子零件、機械加工品、印刷電路板相關業務 | 100% |
| Chunghua Precision Test Tech. International, Ltd. | Chunghua Precision Test Tech. International, Ltd. | 電子材料批發業、電子材料零售業及一般投資業務 | 100% |
| 测冠投资股份有限公司 | 测冠投资股份有限公司 | 一般投資業務 | 100% |
| Senao International HK Limited | Senao International HK Limited | 國際投資業務 | 100% |
| Senao International HK Limited | Senao International HK Limited | 神堡商貿（上海）有限公司 | 資訊產品之買賣 | - |
| Prime Asia Investments Group Ltd. (B.V.I.) | Prime Asia Investments Group Ltd. (B.V.I.) | 一般投資業務 | 100% |
| 中华兴达有限公司 | 中华兴达有限公司 | 一般投資業務 | 100% |
| 上海立华信息科技有限公司 | 上海立华信息科技有限公司 | 企業客戶資通訊整體解決方案、iEN 智慧節能服務 | 100% |
| 上海台华电子科技有限公司 | 上海台华电子科技有限公司 | 印刷电路板的设计及提供技术咨询和技术服务 | 100% |
| 蘇州晶測科技有限公司 | 蘇州晶測科技有限公司 | 電路板組裝加工銷售、印刷電路板的設計及提供技術諮詢和技術服務 | 100% |
| 资拓宏宇国际股份有限公司 | 资拓宏宇国际股份有限公司 | 一般投資業務 | 100% |
| Infoexplorer International Co., Ltd. | Infoexplorer International Co., Ltd. | 一般投資業務 | 100% |
| IISI Investment Co., Ltd. | IISI Investment Co., Ltd. | 資訊系統發展及維運業務 | 99.96% |
```

(接次页)
