```markdown
| 代 碼 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|-------|---------------------|---------------------|
| 8310  | 其他綜合損益（附註二十及二十五） | 金 额 | % | 金 额 | % |
| 8316  | 不重分類至損益之項目： | $ 560,573 | - | $ 315,959 | - |
| 8317  | 透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益 | 38,810 | - | - | - |
| 8320  | 避險工具之損益 | (4,435) | - | 43,839 | - |
| 8349  | 採用權益法認列之關聯企業之其他綜合損益份額 | (24) | - | (15) | - |
| 8360  | 後續可能重分類至損益之項目： | 594,924 | - | 359,783 | - |
| 8361  | 國外營運機構財務報表換算之兌換差額 | (5,201,209) | (1) | 19,345,591 | 4 |
| 8367  | 透過其他綜合損益按公允價值衡量之債務工具投資未實現評價損益 | 1,351,881 | - | (5,105,144) | (1) |
| 8368  | 避險工具之損益 | (17,963) | - | 693,828 | - |
| 8370  | 採用權益法認列之關聯企業之其他綜合損益份額 | (23,406) | - | 164,459 | - |
| 8399  | 與可能重分類之項目相關之所得稅費用 | (47,300) | - | (47,300) | - |
| 8300  | 本期其他綜合損益（稅後淨額） | (3,295,773) | (1) | 15,411,217 | 3 |
| 8500  | 本期綜合損益總額 | $ 203,653,263 | 40 | $ 218,284,591 | 44 |
| 本期淨利歸屬予 |  |  |  |  |  |
| 8610  | 母公司業主 | $ 206,986,561 | 41 | $ 202,732,975 | 41 |
| 8620  | 非控制權益 | (37,525) | - | 140,399 | - |
| 8690  | 本期綜合損益總額 | $ 206,949,036 | 41 | $ 202,873,374 | 41 |
| (接次頁) |  |  |  |  |  |
```
