```markdown
# 聯華電子股份有限公司及子公司
## 合併現金流量表
### 民國一一一年及一一○年一月一日至三月三十一日
#### (僅經核閱，未依一般公認審計準則查核)
#### (金額均以新台幣千元為單位)

| 項目 | 一一一年一月一日至三月三十一日 | 一一○年一月一日至三月三十一日 |
| --- | --- | --- |
| 營業活動之現金流量： |  |  |
| 本期稅前淨利 | $23,647,874 | $10,983,069 |
| 調整項目： |  |  |
| 折舊費用 | 10,656,479 | 11,135,846 |
| 攤銷費用 | 733,034 | 697,629 |
| 預期信用減損利益數 | (945) | (12,452) |
| 透過損益按公允價值衡量之金融資產及負債淨利益 | (2,417,830) | (1,759,147) |
| 利息費用 | 491,766 | 388,567 |
| 利息收入 | (168,970) | (116,443) |
| 股利收入 | (16,630) | (14,106) |
| 股份基礎給付酬勞成本 | 377,259 | 444,809 |
| 採用權益法認列之關聯企業及合資損失(利益)之份額 | 1,858,432 | (1,766,569) |
| 處分不動產、廠房及設備利益 | (61,418) | (19,196) |
| 處分投資損失 | - | 10,188 |
| 買回應付公司債損失 | 31,852 | - |
| 金融資產及負債兌換損失 | 226,914 | 79,297 |
| 遞延政府補助攤銷 | (1,053,908) | (987,088) |
| 收益費損項目合計 | 10,656,035 | 8,081,335 |
| 與營業相關之資產/負債變動數： |  |  |
| 透過損益按公允價值衡量之金融資產及負債 | (234,821) | 328,911 |
| 合約資產 | (18,952) | (672) |
| 應收票據及應收帳款 | (2,579,924) | (2,209,866) |
| 其他應收款 | 64,652 | 108,868 |
| 存貨 | (2,133,994) | 167,008 |
| 預付款項 | (434,127) | 223,291 |
| 其他流動資產 | - | (126) |
| 履行合約成本 | (56,949) | (177,691) |
| 合約負債 | 790,809 | 801,198 |
| 應付票據及帳款 | 638,634 | 483,491 |
| 其他應付款 | 809,329 | (400,030) |
| 其他流動負債 | (166,346) | 14,024 |
| 淨確定福利負債 | (662,537) | (426,790) |
| 其他非流動負債-其他 | 20,880 | 41,198 |
| 營運產生之現金流入 | 30,340,563 | 18,017,218 |
| 取收之利息 | 170,552 | 124,587 |
| 取收之股利 | 506,591 | 392,645 |
| 支付之利息 | (131,334) | (202,904) |
| 支付之所得稅 | (768,576) | (50,876) |
| 營業活動之淨現金流入 | 30,117,796 | 18,280,670 |

---

接下页
```
