```markdown
# (九) 無形資產

### 112年1月1日
| | 商標權 | 專利權 | 商譽 | 客戶關係 | 專門技術 | 其他 | 合計 |
|---|---|---|---|---|---|---|---|
| 成本 | $4,307,832 | $1,829,078 | $60,126,073 | $19,451,343 | $13,277,950 | $4,001,160 | $102,993,436 |
| 累計攤銷及減損 | (1,906,823) | (1,710,031) | (1,288,023) | (11,932,672) | (5,780,326) | (3,205,707) | (25,823,582) |
|---|---|---|---|---|---|---|---|
| | $2,401,009 | $119,047 | $58,838,050 | $7,518,671 | $7,497,624 | $795,453 | $77,169,854 |

### 112年
| | 期初餘額 | 增添-源自單獨取得 | 增添-企業合併取得(註) | 重分類(註) | 攤銷費用 | 匯率影響數 | 期末餘額 |
|---|---|---|---|---|---|---|---|
| | $2,401,009 | $119,047 | $58,838,050 | $7,518,671 | $7,497,624 | $795,453 | $77,169,854 |
| 增添-源自單獨取得 | 1,373 | 16,633 | - | - | - | 331,261 | 349,267 |
| 增添-企業合併取得(註) | 455 | - | 572,556 | 349,675 | 175,795 | 1,282 | 1,099,763 |
| 重分類(註) | 104,790 | - | (110,239) | - | 5,449 | - | - |
| 攤銷費用 | (197,450) | (19,275) | - | (1,168,994) | (1,007,734) | (565,416) | (2,958,869) |
| 匯率影響數 | 66,739 | (474) | 2,551,705 | 283,758 | 297,136 | 35,434 | 3,234,298 |
| 期末餘額 | $2,376,916 | $115,931 | $61,852,072 | $6,983,110 | $6,968,270 | $598,014 | $78,894,313 |

### 112年9月30日
| | 成本 | 累計攤銷及減損 |
|---|---|---|
| | $4,587,204 | $1,856,538 |
| | $63,183,931 | $63,183,931 |
| | $20,626,061 | $20,626,061 |
| | $14,120,491 | $14,120,491 |
| | $4,196,644 | $4,196,644 |
| | $108,570,869 | $108,570,869 |
| 累計攤銷及減損 | (2,210,288) | (1,740,607) |
| | (1,331,859) | (1,331,859) |
| | (13,642,951) | (13,642,951) |
| | (7,152,221) | (7,152,221) |
| | (3,598,630) | (3,598,630) |
| | (29,676,556) | (29,676,556) |
| 期末餘額 | $2,376,916 | $115,931 |
| | $61,852,072 | $61,852,072 |
| | $6,983,110 | $6,983,110 |
| | $6,968,270 | $6,968,270 |
| | $598,014 | $598,014 |
| | $78,894,313 | $78,894,313 |

**註：主要係本集團收購冠信及UI Acquisition Holding Co.（以下簡稱「UI」）價格分攤完成所致，UI 收購價格分攤於民國112年第一季完成並調整股權淨值，使收購價格分攤金額調減$33,473。**
```
