```markdown
| 公司名称 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
| --- | --- | --- |
| 富士康工业互联网股份有限公司 |  |  |
| 收入及其他营业收入 | $1,596,407,130 | $1,322,771,769 |
| 繼續營業單位本期淨利 | 51,481,149 | 47,307,911 |
| 其他綜合損益(稅後淨額) | 2,954,929 | (724,110) |
| 本期綜合損益總額 | $54,436,078 | $46,583,801 |
| 綜合損益總額歸屬於非控制權益 | $8,651,795 | $7,453,408 |
| 支付予非控制權益股利 | $6,826,716 | $3,292,721 |

| 亞太電信股份有限公司 |  |  |
| --- | --- | --- |
| 收入及其他营业收入 | $3,104,809 | $3,211,727 |
| 繼續營業單位本期淨損 | (1,169,314) | (1,441,741) |
| 其他綜合損益(稅後淨額) | - | (2) |
| 本期綜合損益總額 | ($1,169,314) | ($1,441,743) |
| 綜合損益總額歸屬於非控制權益 | ($737,139) | ($1,047,884) |
| 支付予非控制權益股利 | $ | $ |
```
