```markdown
|  | 土地 | 房屋及建築 | 機器設備 | 試驗設備 | 其他 | 及待驗設備 | 合計 |
|---|---|---|---|---|---|---|---|
| 112年1月1日 | $ 16,093,942 | $ 55,651,841 | $ 61,671,200 | $ 22,998,550 | $ 23,840,987 | $ 9,853,136 | $ 190,109,656 |
| 成本 | | | | | | | |
| 累計折舊及減損 | (10,036) | (25,212,383) | (41,448,111) | (17,897,282) | (19,275,257) | - | (103,843,069) |
| | $ 16,083,906 | $ 30,439,458 | $ 20,223,089 | $ 5,101,268 | $ 4,565,730 | $ 9,853,136 | $ 86,266,587 |
| 112年 | | | | | | | |
| 期初餘額 | $ 16,083,906 | $ 30,439,458 | $ 20,223,089 | $ 5,101,268 | $ 4,565,730 | $ 9,853,136 | $ 86,266,587 |
| 增添(註) | 247,675 | 688,784 | 6,123,151 | 3,364,841 | 2,014,729 | 8,754,408 | 21,193,588 |
| 企業合併取得 | - | - | 253 | 432 | 4,484 | - | 5,169 |
| 合併個體減少影響數 | - | - | - | - | - | (547) | - |
| 處分 | (3,501) | (101,809) | (79,098) | (102,192) | (36,047) | - | (322,647) |
| 移轉/重分類 | 17,150 | 2,005,300 | 1,911,851 | 309,664 | 830,475 | (4,443,089) | 631,351 |
| 折舊費用 | - | (1,746,053) | (6,408,113) | (2,116,812) | (2,037,160) | - | (12,308,138) |
| 匯率影響數 | 143,453 | 308,816 | 61,388 | 37,481 | 47,738 | 14,092 | 612,968 |
| 期末餘額 | $ 16,488,683 | $ 31,594,496 | $ 21,832,521 | $ 6,594,682 | $ 5,389,402 | $ 14,178,547 | $ 96,078,331 |

| 112年9月30日 | | | | | | | |
|---|---|---|---|---|---|---|---|
| 成本 | $ 16,498,020 | $ 58,508,766 | $ 67,706,967 | $ 25,921,722 | $ 26,121,740 | $ 14,178,547 | $ 208,935,762 |
| 累計折舊及減損 | (9,337) | (26,914,270) | (45,874,446) | (19,327,040) | (20,732,338) | - | (112,857,431) |
| | $ 16,488,683 | $ 31,594,496 | $ 21,832,521 | $ 6,594,682 | $ 5,389,402 | $ 14,178,547 | $ 96,078,331 |

| 註：增添已扣除政府補助收入。 |
```
