1. **文件类型**：财务报表
2. **公司名称**：无法从图片中直接获取公司名称，但可以推测这是一家上市公司，因为文件中包含了每股盈余、加权平均流通在外股数等财务数据。

3. **财务数据摘要**：

   - **111年7月1日至9月30日**：
     - **基本每股盈余**：$11,068,908
     - **稀释每股盈余**：$11,068,908
     - **加权平均流通在外股数**：2,597,543
     - **每股盈余**：$4.26

   - **112年1月1日至9月30日**：
     - **基本每股盈余**：$24,419,495
     - **稀释每股盈余**：$24,419,495
     - **加权平均流通在外股数**：2,597,543
     - **每股盈余**：$9.40

   - **111年1月1日至9月30日**：
     - **基本每股盈余**：$24,755,470
     - **稀释每股盈余**：$24,755,470
     - **加权平均流通在外股数**：2,597,543
     - **每股盈余**：$9.53

   - **112年1月1日至9月30日**：
     - **基本每股盈余**：$24,755,470
     - **稀释每股盈余**：$24,755,470
     - **加权平均流通在外股数**：2,597,543
     - **每股盈余**：$9.49

这些数据表明，公司在不同时间段的每股盈余有所波动，但总体上保持在较高水平。稀释每股盈余与基本每股盈余相同，表明没有稀释因素影响每股盈余。
