1. **文件类型**：财务报表
2. **公司名称**：台达电子工业股份有限公司
3. **主要标题或类别**：
   - **111年财务报表**
   - **110年度盈余分配**
   - **112年财务报表**
   - **111年9月30日余额**
   - **112年9月30日余额**

4. **财务数据摘要**：

   - **111年财务报表**：
     - **111年1月1日余额**：
       - 总资产：$25,975,433
       - 总负债：$49,114,151
       - 净资产：$29,697,752
     - **111年9月30日余额**：
       - 总资产：$58,039,010
       - 总负债：$937,923
       - 净资产：$51,091,087

   - **110年度盈余分配**：
     - **110年度盈余分配**：
       - 提列法定盈余公积：$2,688,553
       - 提列特别盈余公积：$3,623,514
       - 分配股利：$14,286,479
       - 对子公司所有权权益变动：$18,277
       - 实际取得子公司股权价格与账面价值差异：$15,322
       - 虚分透漏其他综合损益按公允价值衡量之权益工具：$8,492
       - 非控制权益增减：$708,491

   - **112年财务报表**：
     - **112年1月1日余额**：
       - 总资产：$25,975,433
       - 总负债：$49,321,767
       - 净资产：$32,386,305
     - **112年9月30日余额**：
       - 总资产：$65,907,358
       - 总负债：$2,530,216
       - 净资产：$38,578,278

   - **111年9月30日余额**：
     - 总资产：$58,039,010
     - 总负债：$937,923
     - 净资产：$51,091,087

   - **112年9月30日余额**：
     - 总资产：$74,694,632
     - 总负债：$3,740,672
     - 净资产：$37,373,960

这些数据摘要提供了台达电子工业股份有限公司在111年、110年度盈余分配、112年以及111年和112年9月30日的财务状况概览。
