```markdown
# 亞德客國際集團及其子公司

## 合併綜合損益表

### 民國 111 年及 110 年 1 月 1 日至 3 月 31 日

(僅經核閱，未依一般公認審計準則查核)

### 單位：新台幣仟元，惟
### 每股盈餘為元

| 代 碼 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|-------|---------------------|---------------------|
| 4100  | 營業收入            | 營業收入            |
|       | 銷貨收入（附註二十及三 | 銷貨收入（附註二十及三 |
|       | 四）                 | 四）                 |
|       | $ 6,508,962         | $ 5,933,876         |
|       | 100                 | 100                 |
| 5110  | 營業成本            | 營業成本            |
|       | 銷貨成本（附註十及二 | 銷貨成本（附註十及二 |
|       | 一）                 | 一）                 |
|       | $ 3,700,895         | $ 3,057,553         |
|       | 57                  | 52                  |
| 5900  | 營業毛利            | 營業毛利            |
|       | $ 2,808,067         | $ 2,876,323         |
|       | 43                  | 48                  |
| 6100  | 營業費用（附註二一） | 營業費用（附註二一） |
|       | 推銷費用            | 推銷費用            |
|       | $ 605,859           | $ 528,914           |
|       | 9                   | 9                   |
| 6200  | 管理費用            | 管理費用            |
|       | $ 213,948           | $ 228,904           |
|       | 3                   | 4                   |
| 6300  | 研究發展費用        | 研究發展費用        |
|       | $ 177,405           | $ 141,472           |
|       | 3                   | 2                   |
| 6450  | 預期信用（迴轉利益）減 | 預期信用（迴轉利益）減 |
|       | 損損失              | 損損失              |
|       | ( $ 227 )           | -                   |
|       | -                   | $ 2,747             |
| 6000  | 營業費用合計        | 營業費用合計        |
|       | $ 996,985           | $ 902,037           |
|       | 15                  | 15                  |
| 6900  | 營業淨利            | 營業淨利            |
|       | $ 1,811,082         | $ 1,974,286         |
|       | 28                  | 33                  |
| 7100  | 營業外收入及支出（附註二 | 營業外收入及支出（附註二 |
|       | 一）                 | 一）                 |
|       | 利息收入            | 利息收入            |
|       | $ 26,372            | $ 22,042            |
|       | -                   | -                   |
| 7020  | 其他利益及損失      | 其他利益及損失      |
|       | $ 391,766           | ( $ 36,553 )       |
|       | 6                   | -                   |
| 7050  | 財務成本            | 財務成本            |
|       | ( $ 38,411 )        | -                   |
|       | -                   | ( $ 46,237 )       |
| 7000  | 營業外收入及支出合計 | 營業外收入及支出合計 |
|       | $ 379,727           | ( $ 60,748 )       |
|       | 6                   | ( 1 )               |
| 7900  | 繼續營業單位稅前淨利 | 繼續營業單位稅前淨利 |
|       | $ 2,190,809         | $ 1,913,538         |
|       | 34                  | 32                  |
| 7950  | 所得稅費用（附註四及二二） | 所得稅費用（附註四及二二） |
|       | $ 512,632           | $ 466,384           |
|       | 8                   | 8                   |
| 8200  | 本期淨利            | 本期淨利            |
|       | $ 1,678,177         | $ 1,447,154         |
|       | 26                  | 24                  |

(接次頁)
```
