```markdown
| 金 融 商 品 | 合 約 金 額 | 契 約 期 間 |
| --- | --- | --- |
| 遠期外匯買賣合約 | (名目本金)(仟元) |  |
| - 賣港幣買美金 | 港幣 | 111.08.16~112.03.03 |
| - 賣印度盧比買美金 | 印度盧比 | 111.10.18~112.03.29 |
| - 賣日幣買美金 | 日幣 | 753,957 |
| - 賣瑞典幣買挪威克朗 | 瑞典幣 | 111.12.28~112.03.29 |
| - 賣泰銖買日幣 | 泰銖 | 75,464 |
| - 賣土耳其里拉買美金 | 土耳其里拉 | 135,836 |
| - 賣新台幣買美金 | 新台幣 | 147,375 |
| - 賣美金買捷克克朗 | 美金 | 400 |
| - 賣美金買挪威克朗 | 美金 | 2,111 |
| - 賣美金買人民幣 | 美金 | 179,000 |
| - 賣美金買新加坡幣 | 美金 | 41,649 |
| - 賣美金買泰銖 | 美金 | 358,000 |
| - 賣美金買新台幣 | 美金 | 10,000 |

| 金 融 商 品 | 合 約 金 額 | 契 約 期 間 |
| --- | --- | --- |
| 檢匯交易 | (名目本金)(仟元) |  |
| - 賣歐元買挪威克朗 | 欧元 | 13,000 |
| - 賣波蘭茲羅提買挪威克朗 | 波蘭茲羅提 | 8,500 |

| 金 融 商 品 | 合 約 金 額 | 契 約 期 間 |
| --- | --- | --- |
| 遠期外匯買賣合約 | (名目本金)(仟元) |  |
| - 賣澳幣買美金 | 澳幣 | 5,600 |
| - 賣巴西雷亞爾買美金 | 巴西雷亞爾 | 15,994 |
| - 賣哥倫比亞披索買美金 | 哥倫比亞 | 13,334,060 |
| - 賣歐元買挪威克朗 | 欧元 | 17,200 |
| - 賣歐元買美金 | 欧元 | 57,000 |
| - 賣英鎊買挪威克朗 | 英鎊 | 3,800 |
| - 賣港幣買美金 | 港幣 | 26,000 |
| - 賣印度盧比買美金 | 印度盧比 | 1,078,877 |
| - 賣日幣買美金 | 日幣 | 470,120 |
| - 賣瑞典幣買挪威克朗 | 瑞典幣 | 20,000 |
| - 賣泰銖買日幣 | 泰銖 | 76,954 |
| - 賣土耳其里拉買美金 | 土耳其里拉 | 104,950 |
| - 賣新台幣買美金 | 新台幣 | 1,894,614 |
| - 賣美金買加幣 | 美金 | 1,927 |
| - 賣美金買瑞士法郎 | 美金 | 1,000 |
| - 賣美金買捷克克朗 | 美金 | 400 |
| - 賣美金買祕魯新索爾 | 美金 | 500 |
```
