台湾化学纤维股份有限公司及子公司

合并资产负债表

民国112年3月31日及民国111年12月31日、3月31日

（民国112年及111年3月31日之合并资产负债表未经会计师核阅，未依审计准则查核）

单位：新台币仟元

| 资产 | 附注 | 金额 | % | 金额 | % | 金额 | % |
|---|---|---|---|---|---|---|---|
| 流动资产 | | | | | | | |
| 1100 | 现金及约当现金 | 六(一) | $28,917,011 | 5 | $33,002,871 | 6 | $31,821,811 | 5 |
| 1110 | 透过损益按公允价值衡量之金融资产－流动 | 六(二) | 1,566,534 | - | 1,797,262 | - | 1,543,832 | - |
| 1120 | 透过其他综合损益按公允价值衡量之金融资产－流动 | 六(三) | 102,597,434 | 18 | 92,125,314 | 17 | 118,101,104 | 19 |
| 1136 | 按摊销后成本衡量之金融资产－流动 | 六(四) | 4,288,053 | 1 | 4,565,618 | 1 | 64,773 | - |
| 1150 | 应收票据净额 | 六(五) | 8,643,738 | 1 | 6,550,164 | 1 | 10,016,489 | 2 |
| 1160 | 应收票据－关系人净额 | 六(五)及七 | 16,975 | - | 8,147 | - | 6,553 | - |
| 1170 | 应收帐款净额 | 六(五) | 15,883,861 | 3 | 16,355,474 | 3 | 19,789,085 | 3 |
| 1180 | 应收帐款－关系人净额 | 六(五)及七 | 7,486,237 | 1 | 7,145,791 | 1 | 9,699,550 | 2 |
| 1200 | 其他应收款 | 七 | 7,699,862 | 1 | 4,483,253 | 1 | 3,819,012 | 1 |
| 1210 | 其他应收款－关系人 | 七 | 3,948,470 | 1 | 2,429,252 | - | 2,841,803 | - |
| 130X | 存货 | 六(六)及八 | 50,364,122 | 9 | 48,437,390 | 9 | 50,624,179 | 8 |
| 1470 | 其他流动资产 | | 10,264,201 | 2 | 7,813,014 | 1 | 12,752,302 | 2 |
| 11XX | 流动资产合计 | | 241,676,498 | 42 | 224,713,550 | 40 | 261,080,493 | 42 |
| 非流动资产 | | | | | | | | |
| 1517 | 透过其他综合损益按公允价值衡量之金融资产－非流动 | 六(三) | 53,857,190 | 9 | 51,954,437 | 9 | 73,464,153 | 12 |
| 1535 | 按摊销后成本衡量之金融资产－非流动 | 六(四)及八 | 2,793,534 | 1 | 2,250,169 | 1 | 1,500 | - |
| 1550 | 接用权益法之投资 | 六(七) | 118,648,031 | 21 | 117,661,397 | 21 | 133,158,246 | 22 |
| 1600 | 不动产、厂房及设备 | 六(八)、七及八 | 144,911,650 | 25 | 142,848,941 | 26 | 134,211,073 | 22 |
| 1755 | 使用权资产 | 六(九) | 1,651,793 | - | 1,650,577 | - | 1,672,134 | - |
| 1780 | 无形资产 | | 5,692 | - | 5,585 | - | 5,930 | - |
| 1840 | 遗延所得税资产 | | 2,177,921 | - | 2,139,083 | 1 | 1,418,448 | - |
| 1900 | 其他非流动资产 | 六(一) | 11,795,498 | 2 | 12,314,889 | 2 | 11,557,275 | 2 |
| 15XX | 非流动资产合计 | | 335,841,309 | 58 | 330,825,078 | 60 | 355,488,759 | 58 |
| 1XXX | 资产总计 | | $577,517,807 | 100 | $555,538,628 | 100 | $616,569,252 | 100 |
| 续次页 | | | | | | | | |
