30 日, [1583.0, 401.0, 1656.0, 422.0]
民國, [843.0, 402.0, 903.0, 424.0]
日, [1558.0, 405.0, 1575.0, 419.0]
單位:新台幣仟元, [2024.0, 452.0, 2276.0, 474.0]
111年12月31日, [1614.0, 538.0, 1784.0, 561.0]
111年9月30日, [2011.0, 538.0, 2168.0, 562.0]
代, [227.0, 575.0, 266.0, 603.0]
96, [1819.0, 575.0, 1854.0, 601.0]
%, [2206.0, 575.0, 2241.0, 600.0]
額, [1730.0, 577.0, 1757.0, 599.0]
金, [1912.0, 577.0, 1941.0, 599.0]
3月, [2121.0, 577.0, 2146.0, 600.0]
好, [326.0, 578.0, 359.0, 598.0]
黄, [378.0, 578.0, 409.0, 598.0]
流動貢產, [378.0, 612.0, 485.0, 634.0]
1100, [227.0, 644.0, 287.0, 667.0]
88,842,494, [1600.0, 644.0, 1720.0, 667.0]
19, [1833.0, 644.0, 1869.0, 667.0]
$ 95.367.543, [1945.0, 644.0, 2110.0, 666.0]
21, [2222.0, 644.0, 2253.0, 669.0]
現金及約當現金(附註六), [430.0, 645.0, 731.0, 666.0]
.510,08, [1240.0, 646.0, 1318.0, 667.0]
1110, [227.0, 678.0, 287.0, 701.0]
668.831, [1244.0, 678.0, 1321.0, 700.0]
611,802, [1627.0, 678.0, 1722.0, 702.0]
859,007, [2019.0, 678.0, 2108.0, 702.0]
透過損益按公允價值衡量之金融資產(附註, [427.0, 679.0, 917.0, 700.0]
1120, [225.0, 711.0, 285.0, 735.0]
透過其他綜合損益按公允價值衡量之金融, [427.0, 713.0, 899.0, 735.0]
5,934,753, [1608.0, 745.0, 1722.0, 768.0]
二及三四), [456.0, 746.0, 580.0, 768.0]
6.826.023, [1219.0, 746.0, 1327.0, 767.0]
5,789,040, [1997.0, 746.0, 2108.0, 769.0]
1, [1846.0, 747.0, 1862.0, 765.0]
1, [2232.0, 748.0, 2249.0, 764.0]
1136, [225.0, 778.0, 287.0, 802.0]
按攤銷後成本衡量之金融資產(附註六及, [427.0, 780.0, 895.0, 802.0]
29.982.272, [1213.0, 780.0, 1319.0, 801.0]
5, [1846.0, 780.0, 1869.0, 803.0]
17,917,938, [1986.0, 780.0, 2108.0, 802.0]
20,954,299, [1600.0, 781.0, 1720.0, 803.0]
1150, [227.0, 813.0, 285.0, 836.0]
5.423 145, [1217.0, 813.0, 1325.0, 835.0]
19,450,723, [1600.0, 813.0, 1720.0, 837.0]
19.550.756, [1986.0, 813.0, 2106.0, 835.0]
應收票據(附註九及二三), [431.0, 814.0, 735.0, 834.0]
4, [1846.0, 816.0, 1864.0, 836.0]
1170, [225.0, 846.0, 285.0, 870.0]
應收帳款(附註九、十及二三), [432.0, 847.0, 783.0, 869.0]
