### 投資公司名稱：子公

#### 業務性質

| 所持股數百分比 | 112年 | 111年 | 111年 | 說明 |
| --- | --- | --- | --- | --- |
| 9月30日 | 12月31日 | 9月30日 |  |
| 100 | 100 | 100 | (3) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 100 | 100 | 100 | (8) |
| 
