### 110年12月31日

#### 未於資產負債表互抵之

| 性質 | 已認列之金融資產總額 | 已互抵之已認列之金融負債總額 | 於資產負債表列報之金融資產淨額 | 金融工具 | 財務擔保品 | 淨額 |
| --- | --- | --- | --- | --- | --- | --- |
| 衍生工具 | $1,599 | $ - | $1,599 | $58 | $ - | $1,541 |
| 附買回協議 | $3,170,484 | $ - | $3,170,484 | $ - | $3,156,708 | $13,776 |
| 性質 | 已認列之金融負債總額 | 資產總額 | 債淨額 | 金融工具 | 財務擔保品 | 淨額 |
| --- | --- | --- | --- | --- | --- | --- |
| 衍生工具 | $58 | $ - | $58 | $58 | $ - | $- |
| 110年3月31日 |

#### 未於資產負債表互抵之

| 性質 | 已認列之金融資產總額 | 已互抵之已認列之金融負債總額 | 於資產負債表列報之金融資產淨額 | 金融工具 | 財務擔保品 | 淨額 |
| --- | --- | --- | --- | --- | --- | --- |
| 衍生工具 | $773 | $ - | $773 | $773 | $ - | $- |
| 附買回協議 | $2,895,696 | $ - | $2,895,696 | $ - | $2,895,696 | $- |
| 性質 | 已認列之金融負債總額 | 資產總額 | 債淨額 | 金融工具 | 財務擔保品 | 淨額 |
| --- | --- | --- | --- | --- | --- | --- |
| 衍生工具 | $5,346 | $ - | $5,346 | $773 | $ - | $4,573 |
