### 5.其他租賃資訊

|  | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
| --- | --- | --- |
| 租賃利息費用 | $4,137 | $3,496 |
| 短期租賃費用 | $ | $8 |
| 低價值資產租賃費用 | $311 | $362 |
| 租賃之現金流出總額 | $64,784 | $62,160 |

|  | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
| --- | --- | --- |
| 租賃利息費用 | $11,358 | $10,490 |
| 短期租賃費用 | $285 | $389 |
| 低價值資產租賃費用 | $1,000 | $1,072 |
| 租賃之現金流出總額 | $189,718 | $186,831 |

### (十)無形資產

|  | 商標 | 顧客關係 | 技術授權 | 商譽 | 其他 | 合計 |
| --- | --- | --- | --- | --- | --- | --- |
| 111年1月1日 | $456,060 | $530,820 | $383,119 | $2,758,549 | $557,405 | $4,685,953 |
| 累計攤銷及減損 | (387,154) | (292,834) | (337,975) | (665,939) | (336,626) | (2,020,528) |
| 111年1月1日 | $68,906 | $237,986 | $45,144 | $2,092,610 | $220,779 | $2,665,425 |
| 單獨取得 |  |  |  |  |  |  |
| 處分 |  |  |  |  |  |  |
| 攤銷 |  | (24,823) | (17,911) |  |  | (95,788) |
| 外幣兌換差額 | (132) | 24,905 | 5,131 | 185,470 | 6,805 | 222,179 |
| 111年9月30日 | $68,774 | $238,068 | $32,364 | $2,278,080 | $213,227 | $2,830,513 |
| 111年9月30日 | $512,854 | $575,362 | $424,906 | $2,985,777 | $644,469 | $5,143,368 |
| 累計攤銷及減損 | (444,080) | (337,294) | (392,542) | (707,697) | (431,242) | (2,312,855) |
| 111年9月30日 | $68,774 | $238,068 | $32,364 | $2,278,080 | $213,227 | $2,830,513 |
| 110年1月1日 | $475,390 | $572,805 | $402,751 | $2,837,680 | $548,524 | $4,837,150 |
| 累計攤銷及減損 | (330,368) | (283,883) | (332,924) | (373,365) | (369,264) | (1,689,804) |
| 110年1月1日 | $145,022 | $288,922 | $69,827 | $2,464,315 | $179,260 | $3,147,346 |
| 單獨取得 |  |  |  |  |  |  |
| 攤銷 | (33,495) | (26,232) | (17,166) |  |  | (140,871) |
| 重分類 |  |  |  |  |  | 28,207 |
| 減損損失 |  |  |  |  | (8,554) |  |
| 外幣兌換差額 | (7,185) | (9,166) | (1,561) | (59,477) | (7,936) | (85,325) |
| 110年9月30日 | $104,342 | $253,524 | $51,100 | $2,396,284 | $221,948 | $3,027,198 |
| 110年9月30日 | $460,638 | $546,279 | $385,313 | $2,778,203 | $679,185 | $4,849,618 |
| 累計攤銷及減損 | (356,296) | (292,755) | (334,213) | (381,919) | (457,237) | (1,822,420) |
| 110年9月30日 | $104,342 | $253,524 | $51,100 | $2,396,284 | $221,948 | $3,027,198 |
