### 臺灣化學纖維股份有限公司及子公司
#### 合併資產負債表
民國 111 年 3 月 31 日及民國 110 年 12 月 31 日、3 月 31 日
（民國 111 年及 110 年 3 月 31 日之合併資產負債表經核閱，未依一般公認審計準則查覈）

單位：新臺幣仟元

#### 流動資產

| 資  產 | 附 註 | 金 額 | % | 金 額 | % | 金 額 | % |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1100 現金及約當現金 | 六(一) | $ 31,821,811 | 5 | $ 23,062,097 | 4 | $ 20,614,628 | 4 |
| 1110 透過損益按公允價值衡量之金融資產－流動 | 六(二) | 1,543,832 | - | 3,903,900 | 1 | 4,004,404 | 1 |
| 1120 透過其他綜合損益按公允價值衡量之金融資產－流動 | 六(三) | 118,101,104 | 19 | 116,451,723 | 20 | 116,550,460 | 21 |
| 1136 按攤銷後成本衡量之金融資產－流動 | 六(四) | 64,773 | - | 1,953,235 | - | 427,589 | - |
| 1150 應收票據淨額 | 六(五) | 10,016,489 | 2 | 8,173,238 | 1 | 11,611,505 | 2 |
| 1160 應收票據－關係人淨額 | 六(五)及七 | 6,553 | - | 8,505 | - | 2,900 | - |
| 1170 應收帳款淨額 | 六(五) | 19,789,085 | 3 | 20,204,508 | 3 | 19,434,425 | 3 |
| 1180 應收帳款－關係人淨額 | 六(五)及七 | 9,699,550 | 2 | 8,719,009 | 2 | 7,538,707 | 1 |
| 1200 其他應收款 | 七 | 3,819,012 | 1 | 2,742,096 | - | 3,232,573 | - |
| 1210 其他應收款－關係人 | 七 | 2,841,803 | - | 2,698,693 | - | 3,922,038 | 1 |
| 130X 存貨 | 六(六)及八 | 50,624,179 | 8 | 47,200,475 | 8 | 39,433,105 | 7 |
| 1470 其他流動資產 |  | 12,752,302 | 2 | 11,513,548 | 2 | 12,966,390 | 2 |
| 11XX 流動資產合計 |  | 261,080,493 | 42 | 246,631,027 | 41 | 239,738,724 | 42 |

#### 非流動資產

| 資  產 | 附 註 | 金 額 | % | 金 額 | % | 金 額 | % |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1517 透過其他綜合損益按公允價值衡量之金融資產－非流動 | 六(三) | 73,464,153 | 12 | 72,999,266 | 12 | 61,424,870 | 11 |
| 1535 按攤銷後成本衡量之金融資產－非流動 | 六(四)及八 | 1,500 | - | 2,390,179 | 1 | 1,500 | - |
| 1550 採用權益法之投資 | 六(七) | 133,158,246 | 22 | 129,632,702 | 22 | 123,006,563 | 22 |
| 1600 不動產、廠房及設備 | 六(八)、七及八 | 134,211,073 | 22 | 130,897,801 | 22 | 127,326,898 | 23 |
| 1755 使用權資產 | 六(九) | 1,672,134 | - | 1,577,555 | - | 1,567,142 | - |
| 1780 無形資產 |  | 5,930 | - | 5,884 | - | 3,293 | - |
| 1840 遞延所得稅資產 |  | 1,418,448 | - | 2,240,322 | - | 2,091,363 | - |
| 1900 其他非流動資產 | 六(一) | 11,557,275 | 2 | 11,970,535 | 2 | 8,890,006 | 2 |
| 15XX 非流動資產合計 |  | 355,488,759 | 58 | 351,714,244 | 59 | 324,311,635 | 58 |
| 1XXX 資產總計 |  | $ 616,569,252 | 100 | $ 598,345,271 | 100 | $ 564,050,359 | 100 |

(續 次 頁)
