以下是從提供的 PDF 文件中提取的資訊：

### 其他綜合損益歸屬於：
母公司業主：($ 395)
非控制權益：($ 1,007)
總計：($ 1,402)

### 綜合損益總額歸屬於：
母公司業主：$ 55,086
非控制權益：140,191
總計：$ 195,277

### 現金流量：
營業活動：($ 511,454)
投資活動：($ 9,715)
籌資活動：($ 76,457)
匯率變動影響：2
淨現金流出：($ 597,624)

### 以下中華精測及其子公司之彙總性財務資訊係以公司間交易銷除前之金額編製：
112年3月31日：$ 4,023,108
111年12月31日：$ 4,406,032
111年3月31日：$ 4,641,005

### 權益：
112年3月31日：$ 7,921,851
111年12月31日：$ 7,959,301
111年3月31日：$ 7,666,459

### 權益歸屬於：
中華投資業主：$ 2,691,315
非控制權益：5,230,536
總計：$ 7,921,851

### 本期淨利（損）：
112年1月1日至3月31日：$ 706,859
111年1月1日至3月31日：$ 846,318

### 淨利（損）歸屬於：
中華投資業主：($ 10,545)
非控制權益：($ 26,832)
總計：($ 37,377)
