台湾水泥股份有限公司及子公司

民國112年及111年7月1日至9月30日以及民國112年及111年1月1日至9月30日

單位：除每股盈餘為新台幣元外，餘係仟元

| 代 碼 | 金額 | % | 金額 | % | 金額 | % | 金額 | % |
|---|---|---|---|---|---|---|---|---|
| 4000 | 營業收入（附註二三及三三） | $27,002,293 | 100 | $31,423,036 | 100 | $80,966,464 | 100 | $79,274,330 | 100 |
| 5000 | 營業成本（附註十一、一二、二四及三三） | 21,227,341 | 79 | 28,431,209 | 94 | 66,737,333 | 82 | 74,472,393 | 94 |
| 5900 | 營業毛利 | 3,774,952 | 21 | 2,691,827 | 2 | 14,229,131 | 18 | 4,801,937 | 6 |
| 6100 | 推銷費用 | 23,997 | 1 | 94,427 | 1 | 705,694 | 1 | 597,445 | 1 |
| 6200 | 管理費用 | 2,116,240 | 8 | 1,534,869 | 7 | 5,879,383 | 7 | 4,386,560 | 5 |
| 6300 | 研究發展費用 | 368,374 | 1 | 334,993 | 1 | 1,047,398 | 2 | 990,450 | 1 |
| 6000 | 營業費用合計 | 2,721,611 | 10 | 2,066,282 | 2 | 7,632,475 | 10 | 5,974,455 | 7 |
| 6900 | 營業淨利（損） | 3,062,341 | 11 | 627,338 | 2 | 6,596,565 | 8 | (1,172,518) | (1) |
| 7060 | 採用權益法認列之關聯企業及合資損益份額（附註十三） | 326,391 | 1 | 998,326 | 3 | 2,557,272 | 3 | 2,463,295 | 3 |
| 7100 | 利息收入（附註二十四） | 757,901 | 3 | 551,352 | 2 | 2,353,881 | 3 | 1,350,512 | 2 |
| 7130 | 股利收入 | 614,395 | 2 | 668,129 | 2 | 1,376,618 | 2 | 2,303,585 | 3 |
| 7190 | 其他收入 | 245,481 | 1 | 83,242 | - | 784,365 | 1 | 390,955 | 1 |
| 7215 | 處分投資性不動產利益 | 238,717 | 1 | 8,736 | - | 238,717 | 1 | 8,736 | - |
| 7230 | 外幣兌換淨益 | 187,082 | 1 | 327,515 | 1 | 384,530 | 1 | 889,453 | 1 |
| 7235 | 透過損益按公允價值衡量之金融資產及負債之淨益（損） | (345,168) | (1) | (239,984) | (1) | (89,658) | (1) | (569,617) | (1) |
| 7050 | 財務成本（附註二十四及三三） | 892,936 | (3) | 812,628 | (2) | (2,565,606) | (3) | (1,998,010) | (3) |
| 7610 | 处分不動產、廠房及設備損失 | 37,751 | - | 13,051 | - | 72,009 | - | 32,930 | - |
| 7590 | 其他支出 | 93,905 | 1 | 229,788 | 1 | 792,777 | 1 | 792,777 | 1 |
| 7679 | 非金融資產減損損失（附註十四及十七） | (785,471) | (3) | - | - | (785,471) | (1) | - | - |
| 7000 | 營業外收入及支出合計 | 214,736 | 1 | 1,475,785 | 5 | 3,943,167 | 5 | 4,013,202 | 5 |
| 7900 | 稅前淨利 | 3,277,077 | 12 | 2,103,323 | 7 | 10,539,823 | 13 | 2,840,684 | 4 |
| 7950 | 所得稅費用（附註二十五） | 984,705 | 4 | 464,731 | 2 | 3,035,124 | 4 | 1,286,301 | 2 |
| 8200 | 本期淨利 | 2,292,372 | 8 | 1,638,592 | 5 | 7,504,699 | 9 | 1,554,383 | 2 |
| 本期其他綜合損益淨額（附註二二） |  |  |  |  |  |  |  |  |  |
| 8310 | 不重分類至損益之項目： |  |  |  |  |  |  |  |  |
| 8316 | 透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損失 | (332,321) | (1) | (3,984,096) | (13) | (700,069) | (1) | (7,099,902) | (9) |
| 8320 | 採用權益法認列之關聯企業及合資之其他綜合損益之份額 | (167,642) | (1) | (77,372) | - | (2,293) | - | (324,884) | (1) |
| 8360 | 後續可能重分類至損益之項目： |  |  |  |  |  |  |  |  |
| 8361 | 國外營運機構財務報表換算之兌換差額 | 5,205,952 | 1
