```markdown
# 本集團除電信業務及專案業務以外之應收款項有限，故僅就中華電信公司前述業務依準備矩陣衡量應收票據及帳款之備抵損失情形，予以說明如下：

## 112年3月31日

| 電信業務 | 未逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 合計 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 預期信用損失率（注1） | 0%~1% | 1%~21% | 3%~64% | 11%~81% | 24%~90% | 48%~96% | 100% |  |  |
| 總帳面金額 | $15,877,741 | $360,047 | $161,855 | $130,047 | $48,799 | $37,404 | $609,373 | $17,225,266 |  |
| 備抵損失（存續期間預期信用損失） | (58,227) | (44,535) | (53,277) | (22,667) | (22,249) | (33,722) | (609,373) | (844,050) |  |
| 撥銷後成本 | $15,819,514 | $315,512 | $108,578 | $107,380 | $26,550 | $3,682 | $- | $16,381,216 |  |

| 專案業務 | 未逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 合計 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 預期信用損失率（注2） | 0%~5% | 5% | 10% | 30% | 50% | 80% | 100% |  |  |
| 總帳面金額 | $2,205,320 | $49,109 | $29,021 | $19,307 | $696 | $623 | $313,122 | $2,617,198 |  |
| 備抵損失（存續期間預期信用損失） | (2,026) | (3,165) | (2,902) | (6,414) | (348) | (499) | (313,122) | (328,476) |  |
| 撥銷後成本 | $2,203,294 | $45,944 | $26,119 | $12,893 | $348 | $124 | $- | $2,288,722 |  |

## 111年12月31日

| 電信業務 | 未逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 合計 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 預期信用損失率（注1） | 0%~1% | 1%~20% | 3%~64% | 11%~80% | 25%~90% | 45%~96% | 100% |  |  |
| 總帳面金額 | $17,162,634 | $310,392 | $86,500 | $32,826 | $27,774 | $34,127 | $599,316 | $18,253,569 |  |
| 備抵損失（存續期間預期信用損失） | (49,644) | (22,309) | (19,806) | (20,927) | (20,085) | (29,244) | (599,316) | (761,331) |  |
| 撥銷後成本 | $17,112,990 | $288,083 | $66,694 | $11,899 | $7,689 | $4,883 | $- | $17,492,238 |  |

| 專案業務 | 未逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 合計 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 預期信用損失率（注2） | 0%~5% | 5% | 10% | 30% | 50% | 80% | 100% |  |  |
| 總帳面金額 | $3,797,905 | $119,329 | $11,424 | $53,189 | $1,360 | $785 | $547,269 | $4,531,261 |  |
| 備抵損失（存續期間預期信用損失） | (2,604) | (6,138) | (1,142) | (15,986) | (680) | (628) | (547,269) | (574,447) |  |
| 撥銷後成本 | $3,795,301 | $113,191 | $10,282 | $37,203 | $680 | $157 | $- | $3,956,814 |  |

## 111年3月31日

| 電信業務 | 未逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 合計 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 預期信用損失率（注1） | 0%~1% | 1%~21% | 3%~60% | 10%~78% | 23%~89% | 48%~96% | 100% |  |  |
| 總帳面金額 | $15,695,361 | $307,656 | $102,985 | $40,670 | $29,179 | $29,192 | $605,564 | $16,810,607 |  |
| 備抵損失（存續期間預期信用損失） | (50,967) | (46,549) | (21,000) | (20,768) | (23,508) | (26,964) | (605,564) | (795,320) |  |
| 撥銷後成本 | $15,644,394 | $261,107 | $81,985 | $19,902 | $5,671 | $2,228 | $- | $16,015,287 |  |

| 專案業務 | 未逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 逾期 | 合計 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 預期信用損失率（注2） | 0%~5% | 5% | 10% | 30% | 50% | 80% | 100% |
