```markdown
| 編號 | 投資公司名稱 | 子公司名稱 | 業務性質 | 111年9月30日 | 110年12月31日 | 110年9月30日 | 說明 |
|------|--------------|------------|----------|--------------|--------------|--------------|------|
| 67.  | DELTA ELECTRONICS (USA) INC.、DELTA ELECTRONICS HOLDING (USA) INC. | DELTA ELECTRONICS (PERU) INC. S.R.L. | 經營電源供應器等之銷售業務 | 100.00 | 100.00 | 100.00 | （註1）（註2） |
| 68.  | DELTA ELECTRONICS (USA) INC. | DELTA ELECTRONICS (COLOMBIA) S.A.S. | " | 100.00 | 100.00 | 100.00 | （註1）（註2） |
| 69.  | DELTA ELECTRONICS (USA) INC.、DELTA ELECTRONICS HOLDING (USA) INC. | Eltekenergy Services, S.A. de C.V. | " | 100.00 | 100.00 | 100.00 | （註1）（註2） |
| 70.  | DHK、DIH/DELTA ELECTRONICS (USA) INC.、DELTA ELECTRONICS HOLDING (USA) INC. | Eltekenergy International de México, S. de R.L. de C.V. | " | 100.00 | 100.00 | 100.00 | （註1）（註2）（註8） |
| 71.  | DAL | Delta Electronics (Americas) Ltd. | 經營電子零組件之銷售業務 | 100.00 | 100.00 | 100.00 | |
| 72.  | " | Delta Solar Solutions LLC | 投資事業 | - | 100.00 | 100.00 | （註14） |
| 73.  | Delta Solar Solutions LLC | DSS-USF LLC | 經營太陽能發電系統出租 | - | 100.00 | 100.00 | （註14） |
| 74.  | 乾坤 | 力林科技股份有限公司(力林) | 電源管理IC設計 | 100.00 | 100.00 | 100.00 | （註1）（註2） |
```
