```markdown
# (三十二) 每股盈餘

|  | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|---|---|---|
|  | 稅後金額 | 加權平均流通在外股數(仟股) | 每股盈餘 (元) |
|  |  |  |  |
| 基本每股盈餘 |  |  |  |
| 歸屬於母公司普通股股東之本期淨利 | $100,698,049 | 2,703,037 | $ 37.25 |
| 稀釋每股盈餘 |  |  |  |
| 歸屬於母公司普通股股東之本期淨利 | 100,698,049 | 2,703,037 |  |
| 具稀釋作用之潛在普通股之影響 |  |  |  |
| 可轉換公司債 | 12,829 | 26,230 |  |
| 員工酬勞 | - | 3,939 |  |
| 歸屬於母公司普通股股東之本期淨利加潛在普通股之影響 | $100,710,878 | 2,733,206 | $ 36.85 |
|  |  |  |  |
|  | 稅後金額 | 加權平均流通在外股數(仟股) | 每股盈餘 (元) |
|  |  |  |  |
| 基本每股盈餘 |  |  |  |
| 歸屬於母公司普通股股東之本期淨利 | $ 80,138,088 | 5,290,848 | $ 15.15 |
| 稀釋每股盈餘 |  |  |  |
| 歸屬於母公司普通股股東之本期淨利 | 80,138,088 | 5,290,848 |  |
| 具稀釋作用之潛在普通股之影響 |  |  |  |
| 可轉換公司債 | 12,659 | 53,378 |  |
| 員工酬勞 | - | 3,490 |  |
| 歸屬於母公司普通股股東之本期淨利加潛在普通股之影響 | $ 80,150,747 | 5,347,716 | $ 14.99 |
```
