```markdown
| 公司名称 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| --- | --- | --- |
| 富士康工业互联网股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
| 富士康工业互联网股份有限公司 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| 亚太电信股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |

| 公司名称 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| --- | --- | --- |
| 富士康工业互联网股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
| 富士康工业互联网股份有限公司 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| 亚太电信股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |

| 公司名称 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| --- | --- | --- |
| 富士康工业互联网股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
| 富士康工业互联网股份有限公司 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| 亚太电信股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |

| 公司名称 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| --- | --- | --- |
| 富士康工业互联网股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
| 富士康工业互联网股份有限公司 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| 亚太电信股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |

| 公司名称 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| --- | --- | --- |
| 富士康工业互联网股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
| 富士康工业互联网股份有限公司 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| 亚太电信股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |

| 公司名称 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| --- | --- | --- |
| 富士康工业互联网股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
| 富士康工业互联网股份有限公司 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| 亚太电信股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |

| 公司名称 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| --- | --- | --- |
| 富士康工业互联网股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
| 富士康工业互联网股份有限公司 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| 亚太电信股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |

| 公司名称 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| --- | --- | --- |
| 富士康工业互联网股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
| 富士康工业互联网股份有限公司 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| 亚太电信股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |

| 公司名称 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| --- | --- | --- |
| 富士康工业互联网股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
| 富士康工业互联网股份有限公司 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| 亚太电信股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |

| 公司名称 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| --- | --- | --- |
| 富士康工业互联网股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
| 富士康工业互联网股份有限公司 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| 亚太电信股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |

| 公司名称 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| --- | --- | --- |
| 富士康工业互联网股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
| 富士康工业互联网股份有限公司 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| 亚太电信股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |

| 公司名称 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| --- | --- | --- |
| 富士康工业互联网股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
| 富士康工业互联网股份有限公司 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| 亚太电信股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |

| 公司名称 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| --- | --- | --- |
| 富士康工业互联网股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
| 富士康工业互联网股份有限公司 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| 
