```markdown
| 編號 | 投資公司名稱 | 子公司名稱 | 業務性質 | 合併所持股權百分比 |
|------|--------------|------------|----------|---------------------|
| 12.  | DIH          | Delta Electronics (Japan), Inc. (DEJ) | 經營電源、視訊、零組件、機電等產品及材料之買賣 | 100.00 100.00 100.00 (註1) (註2) |
| 13.  | DEN          | Drake Investment (HK) Limited (Drake-HK) | 投資事業 | 100.00 100.00 100.00 |
| 14.  | DGSG、Drake-HK、Boom | 中達電通股份有限公司 (中達電通) | 經營不斷電式電源供應器等電子產品之銷售業務 | 95.91 95.91 95.91 |
| 15.  | DEN          | Delta Greentech SGP Pte. Ltd. (DGSG) | 投資事業 | 100.00 100.00 100.00 |
| 16.  | DIH          | Delta Electronics Europe Ltd. (DEU) | 維修中心及提供支援服務 | 100.00 100.00 100.00 (註1) (註2) |
| 17.  | DEN          | Boom Treasure Limited (Boom) | 投資事業 | 100.00 100.00 100.00 |
| 18.  | DHK          | 台達電子(東莞)有限公司 (台達電子東莞) | 經營變壓器及散熱等電子產品之製造及銷售業務 | 100.00 100.00 100.00 |
| 19.  | "           | 台達電子企業管理(上海)有限公司 (台達企管) | 產品外觀設計之技術服務及管理諮詢及各類電子產品分銷等業務 | 100.00 100.00 100.00 |
| 20.  | "           | 中達電子(江蘇)有限公司 (中達江蘇) | 經營變壓器及電源供應器等電子產品之製造及銷售業務 | 100.00 100.00 100.00 |
| 21.  | "           | 中達電子(蕪湖)有限公司 (中達蕪湖) | 經營LED燈源及電源供應器等電子產品之製造及銷售業務 | 100.00 100.00 100.00 |
```
