```markdown
# 鴻海精密工業股份有限公司及子公司
## 合併綜合損益表
### 民國112年及111年1月1日至3月31日
#### （僅經核閱，未依審計準則查核）

| 項目 | 附註 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|------|----------------------|----------------------|
| 4000 | 營業收入 | $1,462,437,334 | $1,407,553,167 |
| 5000 | 營業成本 | (1,374,102,879) | (1,322,787,489) |
| 5900 | 營業毛利 | 88,334,455 | 84,765,678 |
| 6000 | 營業費用合計 | (47,811,430) | (48,096,374) |
| 6900 | 營業利益 | 40,523,025 | 36,669,304 |
| 7000 | 營業外收入及支出合計 | (20,119,740) | 258,031 |
| 7900 | 稅前淨利 | 20,403,285 | 36,927,335 |
| 7950 | 所得稅費用 | (6,803,936) | (7,317,908) |
| 8200 | 本期淨利 | $13,599,349 | $29,609,427 |

#### （續次頁）
```
