```markdown
| 編號 | 投資公司名稱 | 子公司名稱 | 業務性質 | 合併所持股權百分比 |
|------|--------------|------------|----------|---------------------|
| 38.  | CHK          | 吳江華豐電子科技有限公司（華豐） | 技術服務、技術開發、技術諮詢、技術交流、技術轉讓、技術推廣，電子元器件製造，電子元器件批發，電子元器件零售，模具製造，模具銷售，鍛件及粉末冶金製品銷售 | 100.00 100.00 100.00 |
| 39.  | 達爾        | 蘇州爾達醫療設備有限公司（蘇州爾達） | 醫療器材製造、批發與銷售 | 100.00 100.00 100.00 （註1）（註2） |
| 40.  | DIH          | ELTEK AS    | 經營電源供應器等之研發及銷售業務 | 100.00 100.00 100.00 |
| 41.  | "           | Delta Controls Inc.(DCI) | 提供楼宇管理與控制解決方案 | 100.00 100.00 100.00 |
| 42.  | "           | DELTA ELECTRONICS HOLDING(USA) INC. | 投資事業 | 100.00 100.00 100.00 （註1）（註2） |
| 43.  | ELTEK AS     | ELTEK PAKISTAN (PRIVATE) LIMITED | 經營電源供應器等之銷售業務 | 100.00 100.00 100.00 （註1）（註2） |
| 44.  | "           | DELTA Electronics (Germany) GmbH | 經營電源供應器等之銷售業務及系統建置業務 | 100.00 100.00 100.00 （註1）（註2）（註20） |
| 45.  | Delta Energy Systems (Singapore) PTE. LTD. | Delta Electronics (Australia) Pty Ltd | " | 100.00 100.00 100.00 （註2） |
| 46.  | ELTEK AS     | Eltek Egypt for Power Supply S.A.E. | 經營電源供應器等之銷售業務 | 95.00 95.00 95.00 （註1）（註2） |
```
