```markdown
|  | 商譽 | 客戶關係 | 其他無形資產 | 合計 |
|---|---|---|---|---|
| 1月1日 | $ 662,323 | $ 527,106 | $ 262,241 | $1,451,670 |
| 累計攤銷及減損 | - | (69,550) | (170,875) | (240,425) |
|  | $ 662,323 | $ 457,556 | $ 91,366 | $1,211,245 |
| 1月1日 | $ 662,323 | $ 457,556 | $ 91,366 | $1,211,245 |
| 增添－單獨取得 | - | - | 114,358 | 114,358 |
| 攤銷費用 | - | (4,391) | (17,049) | (21,440) |
| 淨兌換差額 | - | - | (7) | (7) |
| 3月31日 | $ 662,323 | $ 453,165 | $ 188,668 | $1,304,156 |
| 3月31日 | $ 662,323 | $ 527,106 | $ 368,685 | $1,558,114 |
| 累計攤銷及減損 | - | (73,941) | (180,017) | (253,958) |
|  | $ 662,323 | $ 453,165 | $ 188,668 | $1,304,156 |

無形資產攤銷明細如下：

|  | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|---|---|---|
| 營業費用 | $20,100 | $21,440 |

(十六)其他資產

|  | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|---|---|---|---|
| 長期應收款(含長期應收 | $5,225,025 | $4,700,927 | $3,278,605 |
| 票據及款項) | | | |
| 再保險合約資產 | 789,651 | 729,332 | 671,394 |
| 營業保證金 | 300,300 | 300,300 | 300,300 |
| 存出保證金 | 498,761 | 516,843 | 438,469 |
| 預付設備款 | 106,814 | 184,433 | 52,282 |
| 其他 | 1,557,140 | 1,621,077 | 2,023,113 |
|  | $8,477,691 | $8,052,912 | $6,764,163 |

(十七)短期借款

|  | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|---|---|---|---|
| 銀行借款 | | | |
| 信用借款 | $66,436,531 | $51,812,383 | $44,473,499 |
| 抵押借款 | 2,400,000 | 5,600,000 | 5,100,000 |
| 充實中期營運資金聯貸案 | 1,508,252 | 9,353,857 | 348,242 |
|  | $70,344,783 | $66,766,240 | $49,921,741 |
| 年利率 | 0.52%~4.75% | 0.52%~4.75% | 0.58%~4.75% |
```
