```markdown
| 公司名稱 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| --- | --- | --- |
| FIH MOBILE LIMITED | $160,512,369 | $204,949,467 |
| 收入及其他營業收入 |  |  |
| 繼續營業單位本期淨損 | (2,171,301) | (1,126,153) |
| 其他綜合損益(稅後淨額) | (4,123,393) | (9,782,939) |
| 本期綜合損益總額 | $ (6,294,694) | $ (10,909,092) |
| 綜合損益總額歸屬於非控制權益 | $ (2,249,216) | $ (3,865,452) |
| 支付予非控制權益股利 | $ - | $ - |

| 公司名稱 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
| --- | --- | --- |
| FOXCONN INTERCONNECT TECHNOLOGY LIMITED | $36,335,451 | $37,731,200 |
| 收入及其他營業收入 |  |  |
| 繼續營業單位本期淨利 | 1,694,963 | 1,503,738 |
| 其他綜合損益(稅後淨額) | (74,271) | (3,252,058) |
| 本期綜合損益總額 | $ 1,620,692 | $ (1,748,320) |
| 綜合損益總額歸屬於非控制權益 | $ 469,306 | $ (544,178) |
| 支付予非控制權益股利 | $ - | $ - |

| 公司名稱 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| --- | --- | --- |
| FOXCONN INTERCONNECT TECHNOLOGY LIMITED | $90,028,211 | $96,718,691 |
| 收入及其他營業收入 |  |  |
| 繼續營業單位本期淨利 | 1,429,807 | 3,958,896 |
| 其他綜合損益(稅後淨額) | (2,089,074) | (6,369,212) |
| 本期綜合損益總額 | $ (659,267) | $ (2,410,316) |
| 綜合損益總額歸屬於非控制權益 | $ (39,416) | $ (733,774) |
| 支付予非控制權益股利 | $ - | $ - |

| 公司名稱 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
| --- | --- | --- |
| FOXCONN VENTURES PTE. LTD. | $ - | $ - |
| 收入及其他營業收入 |  |  |
| 繼續營業單位本期淨利(損) | 602,222 | (530,558) |
| 其他綜合損益(稅後淨額) | (4,766) | 284,539 |
| 本期綜合損益總額 | $ 597,456 | $ (246,019) |
| 綜合損益總額歸屬於非控制權益 | $ 271,842 | $ (166,018) |
| 支付予非控制權益股利 | $ - | $ - |
```
