```markdown
| 編號 | 投資公司名稱 | 子公司名稱 | 業務性質 | 合併所持股權百分比 |
|------|--------------|------------|----------|---------------------|
| 29.  | 台達電子郴州 | 郴州台達科技有限公司（郴州台達科技） | 經營變壓器等電子產品之製造及銷售業務 | 100.00 100.00 100.00 |
| 30.  | 台達企管、中達電通 | 上海中達能源科技有限公司（上海中達能源） | 合同能源管理、節能技術開發、節能設備及能源管理系統開發、諮詢服務及安裝銷售等 | - 100.00 100.00 （註2）（註18） |
| 31.  | DNH | Delta Networks, Inc.（DNI Cayman） | 投資事業 | 100.00 100.00 100.00 |
| 32.  | DNI Cayman | Delta Networks (HK) Limited (DNHK) | " | 100.00 100.00 100.00 |
| 33.  | DHK、DNHK/DNHK | 達創科技(東莞)有限公司（達創東莞） | 其他無線電廣播接收器及寬頻接入網通信系統設備等產品製造及銷售業務 | 100.00 100.00 100.00 （註10） |
| 34.  | 乾坤 | Fairview Assets Ltd. (Fairview) | 投資事業 | 100.00 100.00 100.00 |
| 35.  | Fairview | Grandview Holding Ltd. (Grandview) | " | 100.00 100.00 100.00 |
| 36.  | Grandview | CYNTEC HOLDING (HK) LIMITED (CHK) | " | 100.00 100.00 100.00 |
| 37.  | " | Cyntec International Ltd. (CIL-Labuan) | 貿易業 | 100.00 100.00 100.00 |
```
