```markdown
|  | 短期借款 | 應付短期票券 | 應付公司債 | 長期借款 | 租賃負債 | 存入保證金 | 負債總額 |
|---|---|---|---|---|---|---|---|
| 111年1月1日餘額 | $ 24,530,062 | $ 11,178,763 | $ 52,050,000 | $ 14,083,293 | $ 79,747,850 | $ 6,555,269 | $ 188,145,237 |
| 繳資現金流量之變動 | 18,561,967 | ( 4,505,306) | ( 1,000,000) | 6,906,699 | ( 10,685,711) | 338,131 | 9,615,780 |
| 其他非現金之變動 | - | - | - | - | - | 18,207,874 | - |
| 匯率變動之影響 | - | - | - | - | - | 29,524 | ( 29,824) |
| 111年9月30日餘額 | $ 43,092,029 | $ 6,673,457 | $ 51,050,000 | $ 21,019,516 | $ 87,240,189 | $ 6,893,400 | $ 215,968,591 |

|  | 短期借款 | 應付短期票券 | 應付公司債 | 長期借款 | 租賃負債 | 存入保證金 | 負債總額 |
|---|---|---|---|---|---|---|---|
| 110年1月1日餘額 | $ 22,364,771 | $ 14,872,897 | $ 43,500,000 | $ 15,498,970 | $ 76,558,595 | $ 6,109,838 | $ 178,905,071 |
| 繳資現金流量之變動 | 1,233,537 | ( 7,589,714) | 8,550,000 | ( 5,590,721) | ( 8,944,039) | 421,196 | ( 11,919,741) |
| 取得子公司之變動 | 5,000 | - | - | - | - | - | 51 |
| 其他非現金之變動 | - | - | - | - | - | 11,266,719 | - |
| 匯率變動之影響 | - | - | - | - | - | ( 63,600) | ( 500,104) |
| 110年9月30日餘額 | $ 23,603,308 | $ 7,283,183 | $ 52,050,000 | $ 9,844,649 | $ 78,381,171 | $ 6,531,085 | $ 177,693,396 |
```
