份有限品, [1176.0, 371.0, 1394.0, 402.0]
司及于公司, [1410.0, 371.0, 1692.0, 407.0]
冯海精密工, [767.0, 373.0, 1050.0, 407.0]
合, [885.0, 439.0, 941.0, 473.0]
 伊, [967.0, 439.0, 1030.0, 470.0]
科等, [1435.0, 442.0, 1489.0, 469.0]
工工, [1524.0, 442.0, 1578.0, 468.0]
民 或, [887.0, 503.0, 996.0, 538.0]
(僅經核閱,, [707.0, 569.0, 1024.0, 602.0]
計準則查核), [1437.0, 570.0, 1753.0, 602.0]
單位:新台幣仟元, [1831.0, 629.0, 2301.0, 671.0]
(除特別註明者外), [1830.0, 698.0, 2291.0, 733.0]
一、公司沿革, [173.0, 827.0, 519.0, 864.0]
鴻海精密工業股份有限公司(以下簡稱「本公司」)於中華民國設立,本公司及, [283.0, 914.0, 2295.0, 958.0]
子公司(以下統稱「本集團」)主要營業項目為資訊產業、通訊產業、自動化設, [287.0, 976.0, 2298.0, 1029.0]
備產業、精密機械產業、汽車產業與消費性電子產業有關之各種連接器、機殼、, [285.0, 1045.0, 2295.0, 1089.0]
散熱器、有線/無線通訊產品、光學產品、電源供應模組、應用模組組裝產品以, [285.0, 1111.0, 2295.0, 1152.0]
及網路線纜裝配等產品之製造、銷售及服務。, [283.0, 1175.0, 1445.0, 1216.0]
二、通過財務報告之日期及程序, [175.0, 1274.0, 990.0, 1313.0]
本合併財務報告已於民國 111年5月12日提報董事會後發布。, [283.0, 1363.0, 1880.0, 1408.0]
三、新發布及修訂準則及解釋之適用, [167.0, 1461.0, 1100.0, 1497.0]
(一)已採用金融監督管理委員會(以下簡稱「金管會」)認可之新發布、修正後, [287.0, 1548.0, 2302.0, 1597.0]
國際財務報導準則之影響, [405.0, 1627.0, 1048.0, 1664.0]
下列彙列金管會認可之民國 111年適用之國際財務報導準則之新發布、修, [403.0, 1707.0, 2300.0, 1747.0]
正及修訂之準則及解釋:, [403.0, 1775.0, 1034.0, 1812.0]
國際會計準則理事會, [1836.0, 1938.0, 2291.0, 1972.0]
新發布/修正/修訂準則及解釋, [781.0, 2009.0, 1443.0, 2045.0]
發布之生效日, [1893.0, 2011.0, 2203.0, 2042.0]
國際財務報導準則第3號之修正「對觀念架構之索引」, [405.0, 2075.0, 1582.0, 2122.0]
民國111年1月1日, [1859.0, 2081.0, 2240.0, 2118.0]
國際會計準則第16號之修正「不動產、廠房及設備：達到預定, [405.0, 2142.0, 1830.0, 2188.0]
民國111年1月1日, [1834.0, 2149.0, 2240.0, 2185.0]
使用狀態前之價款（, [403.0, 2212.0, 856.0, 2252.0]
國際會計準則第37號之修正 | 虧損性合約─履行合約之成本」, [405.0, 2276.0, 1758.0, 2317.0]
民國111年1月1日, [1857.0, 2278.0, 2237.0, 2315.0]
2018-2020週期之年度改善, [401.0, 2342.0, 985.0, 2383.0]
民國11年1月1日, [1863.0, 2344.0, 2237.0, 2382.0]
本集團經評估上並準則及解釋對本集團財務狀況與財務績效並無重大影, [403.0, 2431.0, 2302.0, 2472.0]


 , [401.0, 2495.0, 508.0, 2536.0]
(二)尚未採用金管會認可之新發布、修正後國際財務報導準則之影響, [295.0, 2592.0, 2039.0, 2631.0]
：, [401.0, 2680.0, 506.0, 2721.0]
-13-, [1193.0, 3291.0, 1284.0, 3324.0]
份有限品, [1176.0, 371.0, 1394.0, 402.0]
司及于公司, [1410.0, 371.0, 1692.0, 407.0]
冯海精密工, [767.0, 373.0, 1050.0, 407.0]
合, [885.0, 439.0, 941.0, 473.0]
 伊, [967.0, 439.0, 1030.0, 470.0]
科等, [1435.0, 442.0, 1489.0, 469.0]
工工, [1524.0, 442.0, 1578.0, 468.0]
民 或, [887.0, 503.0, 996.0, 538.0]
(僅經核閱,, [707.0, 569.0, 1024.0, 602.0]
計準則查核), [1437.0, 570.0, 1753.0, 602.0]
單位:新台幣仟元, [1831.0, 629.0, 2301.0, 671.0]
(除特別註明者外), [1830.0, 698.0, 2291.0, 733.0]
一、公司沿革, [173.0, 827.0, 519.0, 864.0]
鴻海精密工業股份有限公司(以下簡稱「本公司」)於中華民國設立,本公司及, [283.0, 914.0, 2295.0, 958.0]
子公司(以下統稱「本集團」)主要營業項目為資訊產業、通訊產業、自動化設, [287.0, 976.0, 2298.0, 1029.0]
備產業、精密機械產業、汽車產業與消費性電子產業有關之各種連接器、機殼、, [285.0, 1045.0, 2295.0, 1089.0]
散熱器、有線/無線通訊產品、光學產品、電源供應模組、應用模組組裝產品以, [285.0, 1111.0, 2295.0, 1152.0]
及網路線纜裝配等產品之製造、銷售及服務。, [283.0, 1175.0, 1445.0, 1216.0]
二、通過財務報告之日期及程序, [175.0, 1274.0, 990.0, 1313.0]
本合併財務報告已於民國 111年5月12日提報董事會後發布。, [283.0, 1363.0, 1880.0, 1408.0]
三、新發布及修訂準則及解釋之適用, [167.0, 1461.0, 1100.0, 1497.0]
(一)已採用金融監督管理委員會(以下簡稱「金管會」)認可之新發布、修正後, [287.0, 1548.0, 2302.0, 1597.0]
國際財務報導準則之影響, [405.0, 1627.0, 1048.0, 1664.0]
下列彙列金管會認可之民國 111年適用之國際財務報導準則之新發布、修, [403.0, 1707.0, 2300.0, 1747.0]
