```json
{
  "name": "公司債發行條件",
  "date": "101.12.7",
  "due_date": "110.12.7-111.12.7",
  "interest_rate": "1.51",
  "issue_amount": "$4,100,000",
  "balance": "$2,050,000",
  "notes": "分期還本50%",
  "date": "102.1.22",
  "due_date": "111.1.22-112.1.22",
  "interest_rate": "1.50",
  "issue_amount": "2,200,000",
  "balance": "1,100,000",
  "notes": "分期還本50%",
  "date": "102.7.8",
  "due_date": "111.7.8-112.7.8",
  "interest_rate": "1.52",
  "issue_amount": "2,800,000",
  "balance": "1,400,000",
  "notes": "分期還本50%",
  "date": "103.01.17",
  "due_date": "114.1.17-115.1.17",
  "interest_rate": "2.03",
  "issue_amount": "10,000,000",
  "balance": "10,000,000",
  "notes": "分期還本50%",
  "date": "103.7.4",
  "due_date": "112.7.4-113.7.4",
  "interest_rate": "1.81",
  "issue_amount": "1,400,000",
  "balance": "1,400,000",
  "notes": "分期還本50%",
  "date": "103.7.4",
  "due_date": "117.7.4-118.7.4",
  "interest_rate": "2.03",
  "issue_amount": "4,600,000",
  "balance": "4,600,000",
  "notes": "分期還本50%",
  "date": "108.5.13",
  "due_date": "112.5.13-113.5.13",
  "interest_rate": "0.75",
  "issue_amount": "3,300,000",
  "balance": "3,300,000",
  "notes": "分期還本50%",
  "date": "108.5.13",
  "due_date": "114.5.13-115.5.13",
  "interest_rate": "0.83",
  "issue_amount": "3,000,000",
  "balance": "3,000,000",
  "notes": "分期還本50%",
  "date": "108.5.13",
  "due_date": "117.5.13-118.5.13",
  "interest_rate": "0.93",
  "issue_amount": "700,000",
  "balance": "700,000",
  "notes": "分期還本50%",
  "date": "109.9.3",
  "due_date": "113.9.3-114.9.3",
  "interest_rate": "0.52",
  "issue_amount": "2,900,000",
  "balance": "2,900,000",
  "notes": "分期還本50%",
  "date": "109.9.3",
  "due_date": "115.9.3-116.9.3",
  "interest_rate": "0.60",
  "issue_amount": "5,200,000",
  "balance": "5,200,000",
  "notes": "分期還本50%",
  "date": "109.9.3",
  "due_date": "118.9.3-119.9.3",
  "interest_rate": "0.67",
  "issue_amount": "1,900,000",
  "balance": "1,900,000",
  "notes": "分期還本50%",
  "date": "110.5.10",
  "due_date": "114.5.10-115.5.10",
  "interest_rate": "0.48",
  "issue_amount": "6,000,000",
  "balance": "6,000,000",
  "notes": "分期還本50%",
  "date": "110.5.10",
  "due_date": "116.5.10-117.5.10",
  "interest_rate": "0.56",
  "issue_amount": "4,000,000",
  "balance": "4,000,000",
  "notes": "分期還本50%",
  "total": "44,400,000",
  "total_balance": "45,500,000",
  "total_notes": "48,950,000",
  "total_interest_rate": "0.48",
  "total_issue_amount": "4,000,000",
  "total_balance": "4,000,000",
  "total_notes": "4,000,000",
  "total_interest_rate": "0.56",
  "total_issue_amount": "4,000,000",
  "total_balance": "4,000,000",
  "total_notes": "4,000,000",
  "total_interest_rate": "0.48",
  "total_issue_amount": "4,000,000",
  "total_balance": "4,000,000",
  "total_notes": "4,000,000",
  "total_interest_rate": "0.56",
  "total_issue_amount": "4,000,000",
  "total_balance": "4,000,000",
  "total_notes": "4,000,000",
  "total_interest_rate": "0.48",
  "total_issue_amount": "4,000,000",
  "total_balance": "4,000,000",
  "total_notes": "4,000,000",
  "total_interest_rate": "0.56",
  "total_issue_amount": "4,000,000",
  "total_balance": "4,000,000",
  "total_notes": "4,000,000",
  "total_interest_rate": "0.48",
  "total_issue_amount": "4,000,000",
  "total_balance": "4,000,000",
  "total_notes": "4,000,000",
  "total_interest_rate": "0.56",
  "total_issue_amount": "4,000,000",
  "total_balance": "4,000,000",
  "total_notes": "4,000,000",
  "total_interest_rate": "0.48",
  "total_issue_amount": "4,000,000",
  "total_balance": "4,000,000",
  "total_notes": "4,000,000",
  "total_interest_rate": "0.56",
  "total_issue_amount": "4,000,000",
  "total_balance": "4,000,000",
  "total_notes": "4,000,000",
  "total_interest_rate": "0.48",
  "total_issue_amount": "4,000,000",
  "total_balance": "4,000,000",
  "total_notes": "4,000,000",
  "total_interest_rate": "0.56",
  "total_issue_amount": "4,000,000",
  "total_balance": "4,000,000",
  "total_notes": "4,000,
