```markdown
# 聯發科技股份有限公司及子公司
## 合併現金流量表
### 民國一零三年一月一日至九月三十日
及民國一零三年一月一日至九月三十日
(金額均以新臺幣元為單位)

| 項目 | 一一二年前三季度 | 一一一年前三季度 |
| --- | --- | --- |
| 營業活動之現金流量： |  |  |
| 繼續營業單位稅前淨利 | $ 58,466,904 | $ 114,503,907 |
| 調整項目： |  |  |
| 不影響現金流量之收益費損項目： |  |  |
| 折舊費用 | 8,110,715 | 6,573,152 |
| 損耗費用 | 5,237,413 | 4,158,597 |
| 預期信用減損損失數 | 55,600 | 2,623 |
| 過過損益按公允價值衡量金融資產及負債之淨利益 | (320,598) | (558,166) |
| 利息費用 | 327,604 | 263,288 |
| 除列按攤銷後成本衡量金融資產淨損失(利益) | 14,616 | (18,556) |
| 利息收入 | (4,939,247) | (1,882,409) |
| 股利收入 | (5,202,450) | (1,672,319) |
| 股份基礎給付酬勞成本 | 1,622,243 | 3,606,723 |
| 採用權益法認列之關聯企業及合資損益之份額 | (202,674) | (1,039,588) |
| 處分及報廢不動產、廠房及設備損失 | 11,465 | 15,599 |
| 不動產、廠房及設備轉列費用數 | - | 50 |
| 處分無形資產損失 | - | 529 |
| 處分投資損失 | - | 4,051 |
| 處分採用權益法之投資損失(利益) | 2,466 | (7,903) |
| 其他 | (4) | 425 |
| 與營業活動相關之資產/負債變動數： |  |  |
| 強制透過損益按公允價值衡量之金融資產 | 3,865,486 | (739,522) |
| 合約資產 | - | (6,000) |
| 應收票據 | (31,711) | (31,805) |
| 應收帳款 | (19,737,291) | (4,401,598) |
| 應收帳款－關係人 | 20,714 | 37,119 |
| 其他應收款 | (20,844,893) | 205,590 |
| 存貨 | 17,110,532 | (10,642,488) |
| 預付款項 | 955,287 | (2,497,947) |
| 其他流動資產 | 195,820 | (905,382) |
| 其他非流動資產－其他 | 8 | 12,759,539 |
| 合約負債 | (2,117,830) | (3,120,307) |
| 應付帳款 | 9,218,401 | (12,921,282) |
| 應付帳款－關係人 | 60,874 | (141,561) |
| 其他應付款 | (7,255,583) | (4,381,806) |
| 其他應付款－關係人 | 10,050 | 887 |
| 其他流動負債 | 19,072,978 | 2,450,501 |
| 淨確定福利負債 | (8,087) | (12,648) |
| 其他非流動負債－其他 | 4,076,128 | 34,810 |
| 營運產生之現金流入 | 67,774,936 | 99,636,103 |
| 取得之利息 | 4,939,634 | 1,559,747 |
| 取得之股利 | 4,342,627 | 2,373,559 |
| 支付之利息 | (331,551) | (234,062) |
| 支付之所得稅 | (12,170,127) | (17,786,211) |
| 營業活動之淨現金流入 | 64,555,519 | 85,549,136 |
| 投資活動之現金流量： |  |  |
| 取得透過其他綜合損益按公允價值衡量之金融資產 | (3,478,319) | (6,328,454) |
| 處分透過其他綜合損益按公允價值衡量之金融資產 | 21,459,939 | 2,115,690 |
| 透過其他綜合損益按公允價值衡量之金融資產減資退回升款 | 11,023 | 47,186 |
| 取得按攤銷後成本衡量之金融資產 | (32,612,267) | (16,061,105) |
| 按攤銷後成本衡量之金融資產到期選本 | 5,731,654 | 3,197,105 |
| 取得採用權益法之投資 | - | (70,464) |
| 處分採用權益法之投資 | - | 89,260 |
| 對子公司之收購(扣除所取得之現金) | - | (976,731) |
| 採用權益法之投資減資退回升款 | 121,492 | 28,589 |
| 取得不動產、廠房及設備 | (5,598,506) | (11,020,303) |
| 處分不動產、廠房及設備 | 6,343 | 5,930 |
| 存出保證金減少(增加) | 55,438 | (731,274) |
| 取得無形資產 | (6,969,070) | (4,909,131) |
| 取得投資性不動產 | - | (3,162) |
| 投資活動之淨現金流出 | (21,272,273) | (34,616,864) |
| 繳資活動之現金流量： |  |  |
| 短期借款增加(減少) | 29,094,232 | (3,173,076) |
| 償還長期借款 | (827,660) |  | 
| 存入保證金增加(減少) | 24,332 | (18,366) |
| 租賃負債本金償還 | (581,802) | (420,544) |
| 員工執行認股權 | 79,450 | 63,779 |
| 發放現金股利 | (1
