1. **文件類型**：財務報表
2. **公司名稱**：臺達電子工業股份有限公司
3. **主要標題或類別**：
   - **111年財務報表**
   - **110年度盈餘分配**
   - **112年財務報表**
   - **111年9月30日餘額**
   - **112年9月30日餘額**

4. **財務數據摘要**：

   - **111年財務報表**：
     - **111年1月1日餘額**：
       - 總資產：$25,975,433
       - 總負債：$49,114,151
       - 淨資產：$29,697,752
     - **111年9月30日餘額**：
       - 總資產：$58,039,010
       - 總負債：$937,923
       - 淨資產：$51,091,087

   - **110年度盈餘分配**：
     - **110年度盈餘分配**：
       - 提列法定盈餘公積：$2,688,553
       - 提列特別盈餘公積：$3,623,514
       - 分配股利：$14,286,479
       - 對子公司所有權權益變動：$18,277
       - 實際取得子公司股權價格與賬面價值差異：$15,322
       - 虛分透漏其他綜合損益按公允價值衡量之權益工具：$8,492
       - 非控制權益增減：$708,491

   - **112年財務報表**：
     - **112年1月1日餘額**：
       - 總資產：$25,975,433
       - 總負債：$49,321,767
       - 淨資產：$32,386,305
     - **112年9月30日餘額**：
       - 總資產：$65,907,358
       - 總負債：$2,530,216
       - 淨資產：$38,578,278

   - **111年9月30日餘額**：
     - 總資產：$58,039,010
     - 總負債：$937,923
     - 淨資產：$51,091,087

   - **112年9月30日餘額**：
     - 總資產：$74,694,632
     - 總負債：$3,740,672
     - 淨資產：$37,373,960

這些數據摘要提供了臺達電子工業股份有限公司在111年、110年度盈餘分配、112年以及111年和112年9月30日的財務狀況概覽。
