1. **文件類型**：這是一份財務報表，具體來說是合併權益變動表。
2. **公司名稱**：文件中沒有直接給出公司名稱，但根據內容和格式，可以推測這是中華電信股份有限公司及其子公司的財務報表。

3. **財務數據摘要**：

   - **合併權益變動表**：
     - **歸屬於母公司股東之權益**：
       - 2011年1月1日至3月31日：
         - 股本：$77,574,465
         - 資本公積：$171,279,625
         - 法定公積金：$2,675,419
         - 未分配盈餘：$59,639,022
         - 未實現其他綜合收益：$392,276
         - 未實現金融資產增值：$7,588
         - 未實現金融負債增值：$8,286
         - 非控制權益：$379,334,846
         - 總計：$11,927,604
         - 母公司股東權益總額：$391,262,450
       - 2012年1月1日至3月31日：
         - 股本：$77,574,465
         - 資本公積：$171,300,898
         - 法定公積金：$2,675,419
         - 未分配盈餘：$51,868,574
         - 未實現其他綜合收益：$111,213
         - 未實現金融資產增值：$124,762
         - 未實現金融負債增值：$12,891
         - 非控制權益：$381,178,887
         - 總計：$12,599,541
         - 母公司股東權益總額：$393,778,428

   - **其他**：
     - 2011年1月1日至3月31日：
       - 子公司股東現金股利：$370,957
       - 採用權益法列報關聯企業及合營之資本公積變動數：$1,159
       - 2012年1月1日至3月31日：
         - 子公司股東現金股利：$676,862
         - 採用權益法列報關聯企業及合營之資本公積變動數：$8,900

   - **非控制權益**：
     - 2011年1月1日至3月31日：
       - 子公司股份基礎給付交易：$13,147
       - 2012年1月1日至3月31日：
         - 子公司股份基礎給付交易：$8,900

   - **2012年3月31日餘額**：
     - 股本：$77,574,465
     - 資本公積：$171,309,798
     - 法定公積金：$3,083,569
     - 未分配盈餘：$61,521,942
     - 未實現其他綜合收益：$1,196
     - 未實現金融資產增值：$421,714
     - 未實現金融負債增值：$1,196
     - 非控制權益：$391,331,061
     - 總計：$12,160,403
     - 母公司股東權益總額：$403,491,464

   - **其他**：
     - 2012年1月1日至3月31日：
       - 子公司股份基礎給付交易：$15,173

這些數據提供了中華電信股份有限公司及其子公司在2011年和2012年第一季度的財務狀況和權益變動情況。
