```markdown
# 中華電信股份有限公司及其子公司

## 民國 112 年 3 月 31 日暨民國 111 年 12 月 31 日及 3 月 31 日

### 單位：新臺幣仟元

| 代 碼 | 資 產 | 金 額 | % | 金 額 | % | 金 額 | % |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 流動資產 |  |  |  |  |  |  |  |
| 1100 | 現金及約當現金（附註六） | $ 36,715,022 | 7 | $ 50,192,604 | 10 | $ 46,500,497 | 9 |
| 1110 | 透過損益按公允價值衡量之金融資產（附註七） | 1,293 | - | 3,953 | - | 3,190 | - |
| 1139 | 避險之金融資產（附註二十） | 1,196 | - | 12,891 | - | 8,055 | - |
| 1140 | 合約資產（附註二九） | 6,123,875 | 1 | 6,055,343 | 1 | 5,539,500 | 1 |
| 1170 | 應收票據及帳款淨額（附註九及二九） | 20,998,008 | 4 | 24,672,473 | 5 | 21,069,723 | 4 |
| 1180 | 應收關係人款項（附註三七） | 48,058 | - | 75,061 | - | 39,645 | - |
| 130X | 存貨（附註十） | 12,024,191 | 2 | 11,316,406 | 2 | 12,512,537 | 2 |
| 1410 | 預付款項（附註十一） | 3,484,576 | 1 | 2,398,608 | - | 5,281,217 | 1 |
| 1476 | 其他金融資產（附註十二） | 19,980,158 | 4 | 3,618,902 | 1 | 6,758,881 | 1 |
| 1479 | 其他流動資產（附註十九及三八） | 3,841,419 | 1 | 3,555,423 | 1 | 3,352,163 | 1 |
| 11XX | 流動資產總計 | 107,215,672 | 20 | 101,901,664 | 20 | 101,065,408 | 19 |

| 非流動資產 |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1510 | 透過損益按公允價值衡量之金融資產（附註七） | 1,075,777 | - | 1,020,203 | - | 805,944 | - |
| 1517 | 透過其他綜合損益按公允價值衡量之金融資產（附註八） | 4,040,213 | 1 | 3,491,381 | 1 | 3,574,284 | 1 |
| 1550 | 採用權益法之投資（附註十四） | 7,248,179 | 1 | 7,155,851 | 1 | 7,463,988 | 2 |
| 1560 | 合約資產（附註二九） | 3,344,517 | 1 | 3,136,801 | 1 | 2,756,204 | 1 |
| 1600 | 不動產、廠房及設備（附註十五、三四、三七及三八） | 289,265,406 | 56 | 291,527,910 | 56 | 285,930,724 | 54 |
| 1755 | 使用權資產（附註十六及三七） | 11,093,820 | 2 | 11,102,549 | 2 | 10,744,006 | 2 |
| 1760 | 投資性不動產（附註十七） | 8,993,035 | 2 | 9,803,861 | 2 | 9,652,091 | 2 |
| 1780 | 無形資產（附註十八及三七） | 77,556,614 | 15 | 79,187,087 | 15 | 82,328,310 | 16 |
| 1840 | 遞延所得稅資產（附註三） | 2,154,497 | - | 2,196,645 | - | 2,760,894 | 1 |
| 1955 | 取得合約之增額成本（附註二九） | 954,772 | - | 979,914 | - | 967,462 | - |
| 1975 | 淨確定福利資產（附註三） | 5,429,492 | 1 | 5,265,721 | 1 | 3,581,626 | 1 |
| 1985 | 預付款項（附註十一） | 1,695,289 | - | 1,728,277 | - | 1,820,461 | - |
| 1990 | 其他非流動資產（附註十九、三八及三九） | 4,472,162 | 1 | 4,705,624 | 1 | 4,923,591 | 1 |
| 15XX | 非流動資產總計 | 417,321,773 | 80 | 421,301,824 | 80 | 417,309,585 | 81 |

| 1XXX | 資 產 總 計 | $ 524,535,450 | 100 | $ 523,203,488 | 100 | $ 518,374,993 | 100 |

| 代 碼 | 負 債 及 權 益 |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 流動負債 |  |  |  |  |  |  |  |
| 2100 | 短期借款（附註二一） | $ 341,800 | - | $ 722,000 | - | $ 65,000 | - |
| 2130 | 合約負債（附註二九） | 12,898,161 | 2 | 13,390,439 | 3 | 12,701,430 | 3 |
| 2170 | 應付票據及帳款（附註二四） | 9,9
