1. **文件類型**：財務報表
2. **公司名稱**：臺達電子
3. **主要標題或類別**：
   - **111年財務報表**
   - **112年財務報表**
   - **附註**

### 111年財務報表摘要

#### 資產負債表
- **資產總額**：$186,124,658
- **負債總額**：$31,338,136
- **所有者權益總額**：$154,786,522

#### 利潤表
- **營業收入**：$129,917
- **營業成本**：$154,786,522
- **淨利潤**：$129,917

#### 現金流量表
- **經營活動產生的現金流量淨額**：$129,917
- **投資活動產生的現金流量淨額**：$129,917
- **籌資活動產生的現金流量淨額**：$129,917

### 112年財務報表摘要

#### 資產負債表
- **資產總額**：$199,853,204
- **負債總額**：$38,578,278
- **所有者權益總額**：$161,274,926

#### 利潤表
- **營業收入**：$129,917
- **營業成本**：$186,788,907
- **淨利潤**：$129,917

#### 現金流量表
- **經營活動產生的現金流量淨額**：$129,917
- **投資活動產生的現金流量淨額**：$129,917
- **籌資活動產生的現金流量淨額**：$129,917

### 附註
- **附註內容**：未提供具體附註內容，但包含財務報表的詳細說明和解釋。

### 總結
臺達電子在111年和112年的財務報表顯示，公司資產、負債和所有者權益總額均有所增長，但淨利潤保持穩定。經營活動產生的現金流量淨額和投資活動產生的現金流量淨額也保持一致。
