1. **文件類型**：這是一份財務報表，具體來說是亞德公司（Yade Company）的合併財務報表。
2. **主要標題或類別**：
   - 營業收入
   - 營業成本
   - 營業毛利
   - 營業費用
   - 營業外收入及支出
   - 繼續營業單位稅前淨利
   - 所得稅費用
   - 本期淨利
   - 其他綜合損益
   - 本期綜合損益總額
   - 每股盈餘

3. **財務數據摘要**：

   - **營業收入**：
     - 2022年7月1日至9月30日：$6,077,173
     - 2021年7月1日至9月30日：$6,663,429
     - 2022年1月1日至9月30日：$19,808,521
     - 2021年1月1日至9月30日：$19,632,353

   - **營業成本**：
     - 2022年7月1日至9月30日：$3,262,883
     - 2021年7月1日至9月30日：$3,384,194
     - 2022年1月1日至9月30日：$10,820,108
     - 2021年1月1日至9月30日：$10,021,046

   - **營業毛利**：
     - 2022年7月1日至9月30日：$2,814,290
     - 2021年7月1日至9月30日：$3,279,235
     - 2022年1月1日至9月30日：$8,988,413
     - 2021年1月1日至9月30日：$9,611,307

   - **營業費用**：
     - 2022年7月1日至9月30日：$626,899
     - 2021年7月1日至9月30日：$585,804
     - 2022年1月1日至9月30日：$1,898,833
     - 2021年1月1日至9月30日：$1,705,148

   - **營業外收入及支出**：
     - 2022年7月1日至9月30日：$28,369
     - 2021年7月1日至9月30日：$22,947
     - 2022年1月1日至9月30日：$76,133
     - 2021年1月1日至9月30日：$73,262

   - **繼續營業單位稅前淨利**：
     - 2022年7月1日至9月30日：$1,802,234
     - 2021年7月1日至9月30日：$2,081,137
     - 2022年1月1日至9月30日：$6,065,137
     - 2021年1月1日至9月30日：$6,319,976

   - **所得稅費用**：
     - 2022年7月1日至9月30日：$411,201
     - 2021年7月1日至9月30日：$480,532
     - 2022年1月1日至9月30日：$1,394,306
     - 2021年1月1日至9月30日：$1,484,268

   - **本期淨利**：
     - 2022年7月1日至9月30日：$1,391,033
     - 2021年7月1日至9月30日：$1,600,605
     - 2022年1月1日至9月30日：$4,670,831
     - 2021年1月1日至9月30日：$4,835,708

   - **其他綜合損益**：
     - 2022年7月1日至9月30日：$250,344
     - 2021年7月1日至9月30日：$24,747
     - 2022年1月1日至9月30日：$879,438
     - 2021年1月1日至9月30日：$387,842

   - **本期綜合損益總額**：
     - 2022年7月1日至9月30日：$1,641,377
     - 2021年7月1日至9月30日：$1,575,858
     - 2022年1月1日至9月30日：$5,550,269
     - 2021年1月1日至9月30日：$4,447,866

   - **每股盈餘**：
     - 2022年7月1日至9月30日：$6.96
     - 2021年7月1日至9月30日：$8.47
     - 2022年1月1日至9月30日：$23.36
     - 2021年1月1日至9月30日：$25.59

   - **其他信息**：
     - 董事長：王世忠
     - 經理人：王世忠
     - 會計主管：曹永祥

這些數據提供了亞德公司在2022年和2021年期間的財務狀況和經營業績的概覽。
