```markdown
# 中國鋼鐵股份有限公司及子公司

## 合併資產負債表

### 民國 111 年 9 月 30 日暨民國 110 年 12 月 31 日及 9 月 30 日

| 代 碼 | 資 產 | 金 額 | % | 金 額 | % | 金 額 | % |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1100 | 現金及約當現金（附註六） | $33,792,732 | 6 | $23,969,128 | 4 | $16,787,328 | 3 |
| 1110 | 透過損益按公允價值衡量之金融資產－流動（附註七） | 2,476,070 | - | 2,610,451 | - | 4,022,733 | 1 |
| 1120 | 透過其他綜合損益按公允價值衡量之金融資產－流動（附註八） | 5,149,686 | 1 | 6,228,593 | 1 | 5,214,826 | 1 |
| 1130 | 避險之金融資產－流動（附註九） | 2,883,238 | - | 1,483,163 | - | 1,615,644 | - |
| 1140 | 合約資產－流動（附註二十四） | 7,717,236 | 1 | 8,298,068 | 1 | 9,316,888 | 1 |
| 1150 | 應收票據（附註十） | 2,013,721 | - | 2,241,592 | - | 2,300,682 | - |
| 1160 | 應收票據－關係人（附註十及三十） | 557 | - | 13,185 | - | 13,185 | - |
| 1170 | 應收帳款淨額（附註十） | 13,583,239 | 2 | 15,519,834 | 2 | 14,387,654 | 2 |
| 1180 | 應收帳款－關係人（附註十及三十） | 74,457 | - | 416,810 | - | 1,196,833 | - |
| 1190 | 其他應收款（附註三十） | 3,506,014 | 1 | 4,118,509 | 1 | 1,929,252 | 1 |
| 1200 | 本期所得稅資產 | 668,470 | - | 628,373 | - | 647,037 | - |
| 1210 | 存貨（附註十一） | 146,577,769 | 21 | 129,532,646 | 20 | 122,812,021 | 19 |
| 1220 | 待出售非流動資產 | 81,226 | - | 315,557 | - | 235,154 | - |
| 1230 | 其他金融資產－流動（附註十三及三十一） | 9,068,658 | 1 | 10,152,556 | 1 | 9,516,588 | 1 |
| 1240 | 其他流動資產 | 7,270,222 | 1 | 4,499,511 | 1 | 4,919,442 | 1 |
| 11XX | 流動資產合計 | 235,763,374 | 33 | 210,015,348 | 31 | 193,918,277 | 29 |

### 非流動資產

| 代 碼 | 資 產 | 金 額 | % | 金 額 | % | 金 額 | % |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1510 | 透過損益按公允價值衡量之金融資產－非流動（附註七） | 823,963 | - | 921,949 | - | 980,979 | - |
| 1517 | 透過其他綜合損益按公允價值衡量之金融資產－非流動（附註八） | 52,288,444 | 7 | 53,673,631 | 8 | 57,315,198 | 8 |
| 1538 | 避險之金融資產－非流動（附註九） | 689,768 | - | 224 | - | 4,893 | - |
| 1550 | 採用權益法之投資（附註十二） | 15,336,216 | 2 | 13,419,640 | 2 | 13,517,552 | 2 |
| 1600 | 不動產、廠房及設備（附註十四及三十一） | 371,664,231 | 54 | 370,663,701 | 55 | 374,447,690 | 56 |
| 1755 | 使用權資產（附註十五及三十一） | 12,554,609 | 2 | 12,488,317 | 2 | 12,553,521 | 2 |
| 1760 | 投資性不動產（附註十六及三十一） | 9,387,389 | 1 | 9,438,554 | 1 | 9,462,822 | 2 |
| 1780 | 無形資產 | 1,370,657 | - | 1,478,279 | - | 1,520,344 | - |
| 1840 | 遞延所得稅資產 | 8,835,820 | 1 | 8,881,613 | 1 | 7,500,270 | 1 |
| 1920 | 存出保證金 | 1,049,737 | - | 1,104,101 | - | 983,221 | - |
| 1980 | 其他金融資產－非流動（附註十三及三十一） | 3,221,704 | - | 3,012,629 | - | 3,112,680 | - |
| 1995 | 其他非流動資產 | 3,223,283 | - | 2,896,983 | - | 2,922,629 | - |
| 15XX | 非流動資產合計 | 480,445,821 | 67 | 477,979,621 | 69 | 484,321,799 | 71 |

### 資產總計

| 代 碼 | 資 產 | 金 額 | % | 金 額 | % | 金 額 | % |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1XXXX | 資產總計 | $716,
