1. **文件類型**：這是一份財務報表，具體來說是公司的合併財務報表。
2. **公司名稱**：文件頂部顯示的公司名稱是“亞德國際股份有限公司”。

3. **文件中的主要標題或類別**：
   - **合併財務報表**：包括資產負債表、利潤表和現金流量表。
   - **財務數據摘要**：列出了不同時間點的財務數據，如110年1月1日、110年3月31日、111年1月1日和111年3月31日的財務數據。

4. **財務數據摘要**：
   - **資產負債表**：
     - **110年1月1日**：
       - 資產總額：22,482,759新臺幣
       - 負債總額：8,369新臺幣
       - 所有者權益總額：22,491,128新臺幣
     - **110年3月31日**：
       - 資產總額：22,039,812新臺幣
       - 負債總額：8,194新臺幣
       - 所有者權益總額：22,041,618新臺幣
     - **111年1月1日**：
       - 資產總額：35,151,671新臺幣
       - 負債總額：7,748新臺幣
       - 所有者權益總額：35,151,671新臺幣
     - **111年3月31日**：
       - 資產總額：35,240,035新臺幣
       - 負債總額：7,574新臺幣
       - 所有者權益總額：35,240,035新臺幣

   - **利潤表**：
     - **110年1月1日至3月31日**：
       - 淨利潤：1,447,154新臺幣
     - **111年1月1日至3月31日**：
       - 淨利潤：1,678,177新臺幣

   - **現金流量表**：
     - **110年1月1日至3月31日**：
       - 經營活動產生的現金流量淨額：1,447,336新臺幣
     - **111年1月1日至3月31日**：
       - 經營活動產生的現金流量淨額：1,678,310新臺幣

這些數據提供了公司財務狀況和經營成果的概覽，有助於分析公司的財務健康狀況和盈利能力。
