```markdown
# 臺灣水泥股份有限公司及子公司
## 合併資產負債表
### 民國112年3月31日暨民國111年12月31日
#### 單位：新臺幣仟元

| 代 碼 | 資 產 | 金 額 | % | 金 額 | % |
| --- | --- | --- | --- | --- | --- |
| 1100 | 現金及約當現金（附註六） | $ 20,657,209 | 15 | $ 88,842,494 | 19 |
| 1110 | 透過損益按公允價值衡量之金融資產（附註七及三四） | 648,145 | 5 | 611,802 | 1 |
| 1120 | 透過其他綜合損益按公允價值衡量之金融資產（附註八、三二及三四） | 6,377,062 | 1 | 5,934,753 | 1 |
| 1136 | 按攤銷後成本衡量之金融資產（附註六及三四） | 30,795,436 | 7 | 20,954,299 | 5 |
| 1150 | 應收帳款（附註九及二三） | 19,618,568 | 4 | 19,450,723 | 4 |
| 1170 | 應收帳款及帳款一關係人（附註三三） | 12,663,899 | 3 | 15,148,760 | 2 |
| 1180 | 應收帳款及帳款一關係人（附註三三） | 382,355 | 1 | 378,563 | 1 |
| 1200 | 其他應收款 | 1,484,950 | 1 | 2,309,268 | 1 |
| 1210 | 其他應收款一關係人（附註三三） | 133,089 | 1 | 415,606 | 1 |
| 130X | 存貨（附註十一） | 15,723,222 | 4 | 16,089,980 | 3 |
| 1410 | 預付款項 | 6,837,591 | 2 | 4,268,024 | 1 |
| 1479 | 其他流動資產（附註二三） | 1,159,052 | 1 | 1,084,374 | 2 |
| 11XX | 流動資產總計 | 164,832,022 | 36 | 175,624,058 | 38 |
| 1510 | 透過損益按公允價值衡量之金融資產（附註七、三二及三四） | 290,412 | - | 284,876 | - |
| 1517 | 透過其他綜合損益按公允價值衡量之金融資產（附註八、三二及三四） | 23,662,688 | 5 | 22,751,646 | 5 |
| 1535 | 按攤銷後成本衡量之金融資產（附註六及三四） | 11,492,164 | 3 | 9,577,103 | 2 |
| 1550 | 採用權益法之投資（附註十三及三四） | 55,617,949 | 12 | 53,586,673 | 12 |
| 1600 | 不動產、廠房及設備（附註十四、二四、三三及三四） | 120,821,456 | 26 | 114,739,983 | 25 |
| 1755 | 使用權資產（附註十五、三五及三七） | 15,650,039 | 3 | 15,503,775 | 3 |
| 1760 | 投資性不動產（附註十六、二四及三四） | 5,317,619 | 1 | 5,323,016 | 1 |
| 1780 | 無形資產（附註十七及三四） | 28,319,815 | 6 | 27,880,416 | 6 |
| 1915 | 預付設備款（附註十四） | 10,416,682 | 2 | 9,658,047 | 2 |
| 194D | 應收融資租賃款（附註十） | 20,593,782 | 5 | 21,372,402 | 5 |
| 1975 | 淨確定福利資產（附註十四） | 1,570,101 | 1 | 1,567,531 | 1 |
| 1995 | 其他非流動資產（附註四及三四） | 3,063,639 | 1 | 2,939,435 | 1 |
| 15XX | 非流動資產總計 | 296,816,346 | 64 | 285,184,903 | 62 |
| XXXX | 資 產 總 計 | $ 461,648,368 | 100 | $ 460,808,961 | 100 |

| 代 碼 | 負 債 及 權 益 | 金 額 | % | 金 額 | % |
| --- | --- | --- | --- | --- | --- |
| 2100 | 短期借款（附註十八、三十及三四） | $ 17,733,242 | 4 | $ 22,416,812 | 5 |
| 2110 | 應付短期票券（附註十八） | 3,051,693 | 1 | 3,065,961 | 1 |
| 2120 | 透過損益按公允價值衡量之金融負債（附註七及三四） | 364,022 | 1 | 641,522 | 1 |
| 2130 | 合約負債（附註二三） | 2,779,840 | 1 | 1,774,714 | 1 |
| 2170 | 應付票據及帳款（附註三四） | 14,355,988 | 3 | 13,691,411 | 3 |
| 2219 | 其他應付款（附註十四及二十） | 11,231,963 | 2 | 9,771,591 | 2 |
| 2220 | 其他應付款一關係人（附註三三） | 1,242,861 | 1 | 750,236 | 1 |
| 2230 | 本期所得稅負債（附註十四） | 1,317,413 | 1 | 1,063,356 | 1 |
| 2280 | 租賃負債（附註十五及三三） | 424,831 | 1 | 410,136 | 1 |
| 2320 | 一年內到期之長期負債（附註十八、十九、三十及三四） | 21,115,742 | 5 | 21
