1. **文件類型**：財務報表
2. **公司名稱**：研華股份有限公司
3. **主要標題或類別**：
   - **111年1月1日至9月30日**
   - **112年1月1日至9月30日**
   - **111年9月30日餘額**
   - **112年9月30日餘額**

4. **財務數據摘要**：

   - **111年1月1日至9月30日**
     - **111年1月1日餘額**：
       - **股本**：7,738,228
       - **資本公積**：8,388,886
       - **盈餘公積**：7,737,236
       - **未分配盈餘**：831,850
       - **其他綜合收益**：13,705,710
       - **未分配盈餘**：1,018,667
       - **其他綜合收益**：1,477
       - **未分配盈餘**：37,852,527
       - **其他綜合收益**：510,264
       - **未分配盈餘**：38,362,791
     - **110年度盈餘指撥及分配**：
       - **提列法定盈餘公**：814,990
       - **提列特別盈餘公**：276,056
       - **普通股現金股利**：6,195,710
       - **子公司股東現金股利**：40,607
       - **股份基礎給付-員工認股權**：25,434
       - **股份基礎給付-員工認股權酬勞成本**：195,899
       - **實際取得或處分子公司股權價格與帳面價值差額**：62,740
       - **非控制權變動**：3,814
       - **對子公司所有權權益變動**：17,675
       - **關聯企業處分透過其他綜合損益按公允價值衡量之權益**：714
       - **工具投資**：714
     - **111年9月30日餘額**：
       - **股本**：7,763,662
       - **資本公積**：14,772
       - **盈餘公積**：9,034,346
       - **未分配盈餘**：8,552,226
       - **其他綜合收益**：555,794
       - **未分配盈餘**：15,181,444
       - **其他綜合收益**：619,608
       - **未分配盈餘**：41,166,017
       - **其他綜合收益**：468,460
       - **未分配盈餘**：41,634,477
   - **112年1月1日至9月30日**
     - **112年1月1日餘額**：
       - **股本**：7,778,434
       - **資本公積**：1,335
       - **盈餘公積**：9,110,280
       - **未分配盈餘**：8,552,226
       - **其他綜合收益**：555,794
       - **未分配盈餘**：17,750,074
       - **其他綜合收益**：785,560
       - **未分配盈餘**：43,814,702
       - **其他綜合收益**：469,312
       - **未分配盈餘**：44,284,014
     - **112年其他綜合收益**：
       - **未分配盈餘**：8,546,706
       - **未分配盈餘**：8,546,706
       - **未分配盈餘**：8,517,767
     - **112年其他綜合收益**：
       - **未分配盈餘**：110,320
       - **未分配盈餘**：2,622
       - **未分配盈餘**：19,761
       - **未分配盈餘**：19,761
     - **112年其他綜合收益**：
       - **未分配盈餘**：104,747
       - **未分配盈餘**：104,747
       - **未分配盈餘**：95,167
       - **未分配盈餘**：199,914
     - **112年其他綜合收益**：
       - **未分配盈餘**：708
       - **未分配盈餘**：708
       - **未分配盈餘**：16,002
       - **未分配盈餘**：16,710
     - **112年其他綜合收益**：
       - **未分配盈餘**：97,962
       - **未分配盈餘**：97,962
       - **未分配盈餘**：-97,962
       - **未分配盈餘**：-
     - **112年其他綜合收益**：
       - **未分配盈餘**：1,542
       - **未分配盈餘**：1,542
       - **未分配盈餘**：-
       - **未分配盈餘**：-
     - **112年9月30日餘額**：
       - **股本**：8,567,315
       - **資本公積**：10,479
       - **盈餘公積**：9,520,327
       - **未分配盈餘**：9,630,127
       - **其他綜合收益**：17,322,077
       - **未分配盈餘**：285,097
       - **其他綜合收益**：1,383,587
       - **未分配盈餘**：46,147,397
       - **其他綜合收益**：347,283
       - **未分配盈餘**：46,494,680

以上數據摘要僅包含主要的財務信息，具體細節請參閱原始文件。
