```markdown
# (三十四)所得稅

## 1. 所得稅費用

### (1)所得稅費用組成部分：

|  | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|---|---|---|
| 當期所得稅： | | |
| 當期所得產生之所得稅 | $387,451 | $1,354,871 |
| 未分配盈餘加徵 | - | (186,114) |
| 以前年度所得稅(高)低估數 | (14,477) | 7,666 |
| 當期所得稅總額 | 372,974 | 1,176,423 |
| 遞延所得稅： | | |
| 暫時性差異之原始產生及迴轉 | 34,427 | (948,989) |
| 遞延所得稅總額 | 34,427 | (948,989) |
| 所得稅費用 | $407,401 | $227,434 |

|  | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|---|---|---|
| 當期所得稅： | | |
| 當期所得產生之所得稅 | $1,775,663 | $3,728,980 |
| 未分配盈餘加徵 | 50,941 | 56,016 |
| 以前年度所得稅(高)低估數 | (30,800) | 40,132 |
| 當期所得稅總額 | 1,795,804 | 3,825,128 |
| 遞延所得稅： | | |
| 暫時性差異之原始產生及迴轉 | 249,227 | (1,758,753) |
| 遞延所得稅總額 | 249,227 | (1,758,753) |
| 所得稅費用 | $2,045,031 | $2,066,375 |

```
