```markdown
# (二十六) 所得税

## 1. 所得税费用

### (1) 所得税费用组成项目如下：

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|----------------------|----------------------|
| 当期所得税： | | |
| 当期所得税产生之所得税 | $1,112,375 | $809,084 |
| 以前年度所得税高估 | (74,903) | - |
| 当期所得税总额 | 1,037,472 | 809,084 |
| 遗延所得税： | | |
| 暂时性差异之原始产生及回转 | (506,766) | (18,530) |
| 所得税费用 | $530,706 | $790,554 |

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|----------------------|----------------------|
| 当期所得税： | | |
| 当期所得税产生之所得税 | $2,400,677 | $2,007,402 |
| 以前年度所得税高估 | (224,062) | - |
| 未分配盈余加征 | 84,958 | 70,763 |
| 当期所得税总额 | 2,261,573 | 2,078,165 |
| 遗延所得税： | | |
| 暂时性差异之原始产生及回转 | (242,197) | (12,182) |
| 所得税费用 | $2,019,376 | $2,065,983 |

```
