```markdown
# 中國鋼鐵股份有限公司及子公司

## 合併資產負債表

### 民國 111 年 3 月 31 日及民國 110 年 12 月 31 日及 3 月 31 日

| 代碼 | 資產 | 金額 | % | 金額 | % | 金額 | % |
|------|------|------|------|------|------|------|------|
| 1100 | 流動資產 | $23,969,128 | 4 | $15,973,354 | 2 | $23,969,128 | 4 |
| 1110 | 透過損益按公允價值衡量之金融資產－流動（附註七） | $2,610,451 | - | $6,527,340 | 1 | $2,610,451 | - |
| 1120 | 透過其他綜合損益按公允價值衡量之金融資產－流動（附註八） | $6,228,593 | 1 | $5,760,261 | 1 | $6,228,593 | 1 |
| 1139 | 避險之金融資產－流動（附註九） | $1,485,163 | - | $1,413,748 | - | $1,485,163 | - |
| 1140 | 合約資產－流動（附註二十四） | $8,298,068 | 1 | $10,058,154 | 2 | $8,298,068 | 1 |
| 1150 | 應收票據（附註九） | $2,241,592 | - | $1,485,512 | - | $2,241,592 | - |
| 1160 | 應收票據－關係人（附註十及三十） | $557 | - | $65,326 | - | $557 | - |
| 1170 | 應收帳款淨額（附註十） | $13,076,071 | 2 | $13,076,071 | 2 | $13,076,071 | 2 |
| 1180 | 應收帳款－關係人（附註十及三十） | $1,709,664 | 1 | $1,709,664 | 1 | $1,709,664 | 1 |
| 1190 | 其他應收款（附註三十） | $4,118,509 | 1 | $1,709,664 | 1 | $4,118,509 | 1 |
| 1200 | 本期所得稅資產 | $628,373 | - | $665,830 | - | $628,373 | - |
| 130X | 存貨（附註十一） | $129,532,646 | 20 | $87,854,466 | 14 | $129,532,646 | 20 |
| 1460 | 待出售非流動資產 | $315,557 | - | $142,688 | - | $315,557 | - |
| 1476 | 其他金融資產－流動（附註十三及三十一） | $10,152,556 | 1 | $8,589,501 | 1 | $10,152,556 | 1 |
| 1479 | 其他流動資產 | $4,499,511 | 1 | $3,860,345 | 1 | $4,499,511 | 1 |
| 11XX | 流動資產合計 | $210,015,348 | 31 | $157,357,604 | 24 | $210,015,348 | 31 |

### 非流動資產

| 代碼 | 資產 | 金額 | % | 金額 | % | 金額 | % |
|------|------|------|------|------|------|------|------|
| 1510 | 透過損益按公允價值衡量之金融資產－非流動（附註七） | $921,949 | - | $955,449 | - | $921,949 | - |
| 1517 | 透過其他綜合損益按公允價值衡量之金融資產－非流動（附註八） | $53,673,631 | 8 | $55,103,064 | 9 | $53,673,631 | 8 |
| 1535 | 按攤銷後成本衡量之金融資產－非流動 | $3,910 | - | $3,910 | - | $3,910 | - |
| 1538 | 避險之金融資產－非流動（附註九） | $2,965 | - | $2,965 | - | $2,965 | - |
| 1550 | 採用權益法之投資（附註十二） | $13,791,044 | 2 | $13,791,044 | 2 | $13,791,044 | 2 |
| 1600 | 不動產、廠房及設備（附註十四及三十一） | $370,663,701 | 55 | $381,158,225 | 60 | $370,663,701 | 55 |
| 1755 | 使用權資產（附註十五及三十一） | $12,488,317 | 2 | $12,961,987 | 2 | $12,488,317 | 2 |
| 1760 | 投資性不動產（附註十六及三十一） | $9,499,494 | 1 | $9,499,494 | 1 | $9,499,494 | 1 |
| 1780 | 無形資產 | $1,613,591 | - | $1,613,591 | - | $1,613,591 | - |
| 1840 | 遞延所得稅資產 | $8,649,333 | 1 | $8,649,333 | 1 | $8,649,333 | 1 |
| 1920 | 存出保證金 | $1,104,101 | - | $752,516 | - | $1,104,101 | - |
| 1980 | 其他金融資產－非流動（附註十三及三十一） | $3,084,549 | - | $3,084,549 | - | $3,084,549 | - |
| 1995 | 其他非流動資產 | $3,029,371 | - | $3,029,371 | - | $3,029,371 | - |
| 15XX | 非流動資產合計 | $490,605,953 | 76 | $490,605,953 | 76 | $490,605,953 | 76 |

### 資產總計

| 代碼 | 資產 | 金額 | % | 金額 | % | 金額 | % |
|------
